fLength:,fWidth:,fSize:,fConc:,fConc1:,fAsym:,fM3Long:,fM3Trans:,fAlpha:,fDist:,class
72.219,15.692,2.534,0.456,0.163,40.283,-14.567,-6.932,11.245,205.478,0.0
58.924,12.587,2.435,0.381,0.154,-25.836,-14.938,-8.327,9.752,185.436,0.0
68.832,13.452,2.493,0.394,0.179,15.283,-21.647,-6.935,10.834,208.749,0.0
128.456,28.934,3.245,0.289,0.142,-78.452,28.563,-12.478,18.746,220.341,0.0
142.781,31.205,3.512,0.275,0.156,45.872,32.891,8.342,22.843,180.675,0.0
122.897,26.517,3.156,0.301,0.138,-65.317,26.843,-9.673,20.874,195.786,0.0
135.629,27.843,3.387,0.254,0.121,-110.328,27.165,-18.934,15.289,240.112,0.0
150.342,33.784,4.023,0.198,0.094,95.621,36.742,14.287,10.532,210.453,0.0
45.327,28.915,2.587,0.287,0.124,32.684,22.518,-10.472,16.834,210.753,0.0
52.186,31.207,2.693,0.312,0.213,-18.436,-24.751,-8.364,17.592,178.624,0.0
38.745,29.834,2.631,0.298,0.193,65.417,18.326,-11.857,18.976,152.489,0.0
41.893,30.125,2.681,0.319,0.208,28.539,-29.467,-9.275,19.845,195.327,0.0
45.327,28.915,2.587,0.287,0.124,32.684,22.518,-10.472,16.834,180.0,0.0
52.186,31.207,2.693,0.312,0.213,-18.436,-24.751,-8.364,17.592,190.0,0.0
38.745,29.834,2.631,0.298,0.193,65.417,18.326,-11.857,18.976,150.0,0.0
41.893,30.125,2.681,0.319,0.208,28.539,-29.467,-9.275,19.845,170.0,0.0
130.0,40.0,3.2,0.28,0.22,-40.0,35.0,15.0,35.0,240.0,0.0
60.0,22.0,2.8,0.35,0.25,-10.0,15.0,-5.0,16.0,200.0,0.0
65.0,23.0,2.9,0.37,0.28,-25.0,10.0,12.0,20.0,220.0,0.0
68.0,24.0,2.85,0.31,0.26,-15.0,12.0,7.0,17.0,210.0,0.0
70.0,25.0,3.0,0.4,0.3,20.0,-15.0,8.0,18.0,240.0,0.0
129.8375,48.6291,3.8752,0.0741,0.0389,-142.836,87.2943,-29.8462,61.8274,352.746,1.0
118.9273,53.2847,4.2268,0.0512,0.0298,95.6384,-125.937,39.2847,65.4829,387.152,1.0
124.6382,61.9375,3.5873,0.0698,0.0412,-78.294,-104.836,-24.937,62.9375,365.284,0.0
121.9374,57.2849,4.0127,0.0583,0.0347,102.937,98.274,-37.294,63.8461,372.846,1.0
132.8462,45.9275,3.2847,0.0726,0.0391,-115.937,84.927,-32.846,67.284,358.927,0.0
188.9374,22.8463,4.2847,0.0892,0.0317,-163.846,-93.274,14.937,28.937,167.937,1.0
192.846,24.937,4.572,0.0863,0.0294,147.284,149.846,47.927,75.846,283.746,1.0
179.937,21.937,4.284,0.0781,0.0283,82.937,-142.937,38.927,79.284,369.846,1.0
195.846,24.284,4.746,0.0716,0.0302,-132.937,91.846,-107.284,37.846,228.937,0.0
174.937,68.274,3.937,0.2948,0.1728,-228.937,152.846,-28.274,12.937,169.274,1.0
169.274,71.846,3.284,0.362,0.1947,-215.846,148.937,19.274,9.274,346.846,0.0
176.937,62.846,3.746,0.3284,0.1842,-221.937,143.274,24.846,11.846,337.274,1.0
125.0,45.0,3.6,0.05,0.03,-150.0,100.0,-30.0,65.0,360.0,1.0
128.0,50.0,4.2,0.03,0.02,80.0,-140.0,40.0,70.0,380.0,1.0
132.0,55.0,4.0,0.06,0.04,100.0,110.0,-40.0,62.0,365.0,0.0
120.0,35.0,3.8,0.04,0.025,-130.0,90.0,-25.0,68.0,355.0,1.0
122.0,60.0,4.5,0.02,0.01,90.0,-130.0,35.0,75.0,390.0,1.0
190.0,22.0,4.0,0.09,0.03,-160.0,-90.0,15.0,30.0,170.0,1.0
195.0,24.0,4.5,0.08,0.029,150.0,150.0,48.0,50.0,280.0,1.0
180.0,21.0,4.2,0.07,0.028,80.0,-140.0,39.0,50.0,370.0,1.0
200.0,25.0,4.7,0.07,0.03,-130.0,90.0,-100.0,15.0,230.0,0.0
185.0,23.0,4.1,0.08,0.032,-175.0,100.0,12.0,20.0,350.0,1.0
175.0,68.0,3.9,0.29,0.17,-230.0,150.0,-30.0,13.0,170.0,1.0
170.0,72.0,3.3,0.36,0.19,-210.0,140.0,20.0,10.0,180.0,0.0
177.0,63.0,3.7,0.33,0.18,-220.0,140.0,25.0,12.0,190.0,1.0
183.0,66.0,4.3,0.27,0.16,-240.0,160.0,-36.0,14.0,180.0,1.0
122.5,48.3,4.2,0.045,0.025,-155.7,94.2,-28.5,68.3,368.9,1.0
127.8,52.1,3.9,0.062,0.039,-142.6,-131.4,33.7,71.2,382.5,1.0
130.2,44.7,4.1,0.051,0.026,-132.9,107.3,-41.8,64.8,359.1,1.0
118.3,57.6,4.4,0.038,0.018,-89.2,-125.7,37.4,66.3,391.7,1.0
135.6,39.8,3.7,0.074,0.042,-115.4,98.6,-34.2,62.5,356.8,0.0
188.7,23.4,4.3,0.087,0.031,-162.5,97.3,13.8,29.6,347.2,1.0
194.2,21.8,4.6,0.076,0.029,148.9,-137.6,45.3,78.4,378.5,1.0
182.4,22.1,4.1,0.092,0.033,81.6,154.3,48.7,52.9,325.7,1.0
190.6,23.1,4.4,0.083,0.032,-171.8,104.5,17.3,41.7,352.6,1.0
172.4,69.8,3.8,0.29,0.17,-227.3,149.2,-29.8,13.1,171.5,1.0
168.9,71.4,3.4,0.36,0.19,-214.7,141.8,19.3,10.5,187.3,0.0
175.6,64.2,4.2,0.31,0.18,-219.8,142.6,24.1,12.7,192.6,1.0
164.8,73.6,4.5,0.38,0.21,-207.5,136.9,30.4,11.9,195.4,0.0
181.3,67.5,3.9,0.27,0.16,-236.9,158.4,-35.2,14.3,181.7,1.0
189.273,22.815,4.142,0.0869,0.0312,-161.384,-92.746,14.928,29.837,342.516,1.0
192.485,24.693,4.572,0.0783,0.0286,146.827,149.283,47.592,51.384,378.915,1.0
183.672,21.496,4.295,0.0718,0.0274,83.194,-141.837,39.172,79.463,367.824,1.0
195.837,23.184,4.483,0.0842,0.0327,-169.483,103.726,16.394,41.592,351.938,1.0
198.726,24.837,4.726,0.0695,0.0291,-134.926,89.473,-106.384,36.726,227.495,0.0
124.836,49.274,4.128,0.0483,0.0261,-154.926,93.746,-28.394,67.837,368.274,1.0
129.573,53.816,3.927,0.0617,0.0382,-142.837,-130.928,33.726,71.495,381.926,1.0
132.495,46.283,4.162,0.0524,0.0273,-131.726,106.837,-41.726,65.384,362.837,1.0
135.726,40.816,3.684,0.0728,0.0413,-116.837,97.273,-33.726,63.194,359.172,0.0
119.384,58.726,4.395,0.0372,0.0173,-90.726,-124.837,37.283,66.837,392.516,1.0
126.837,47.516,4.238,0.0462,0.0248,-152.837,93.172,-27.837,68.726,364.283,1.0
131.495,51.726,3.926,0.0638,0.0397,-138.726,-129.837,34.837,72.837,385.172,1.0
134.726,45.283,4.128,0.0537,0.0279,-129.837,105.726,-42.516,64.726,358.726,1.0
122.726,56.837,4.462,0.0364,0.0169,-88.726,-126.837,38.726,67.283,393.726,1.0
117.837,62.516,4.572,0.0318,0.0157,-72.837,-119.726,42.837,73.516,398.726,1.0
190.0,23.5,4.2,0.08,0.03,-160.0,95.0,-20.0,45.0,360.0,1.0
195.0,22.0,4.0,0.07,0.025,150.0,150.0,50.0,35.0,370.0,1.0
185.0,24.0,4.1,0.085,0.032,-170.0,100.0,15.0,25.0,380.0,1.0
180.0,21.0,4.3,0.09,0.034,80.0,-140.0,40.0,50.0,390.0,1.0
200.0,25.0,4.5,0.06,0.03,-130.0,90.0,-100.0,21.0,360.0,0.0
170.0,70.0,4.0,0.09,0.05,-220.0,140.0,-30.0,12.0,180.0,1.0
175.0,65.0,3.9,0.08,0.04,-210.0,150.0,20.0,10.0,190.0,1.0
180.0,75.0,4.2,0.07,0.03,-230.0,160.0,-35.0,14.0,200.0,1.0
165.0,60.0,3.8,0.06,0.035,-205.0,135.0,25.0,8.0,170.0,1.0
126.837,47.516,3.92,0.048,0.025,-158.326,94.728,-27.846,67.385,368.274,1.0
129.573,53.816,3.85,0.055,0.031,-142.837,-129.482,33.726,71.495,381.926,1.0
122.726,56.837,4.0,0.038,0.019,-121.647,-126.837,38.726,69.283,393.726,1.0
117.837,62.516,3.78,0.032,0.017,-112.837,-119.726,42.837,73.516,398.726,1.0
135.726,40.816,3.95,0.045,0.028,-116.837,97.273,-33.726,65.194,359.172,1.0
192.485,24.693,4.62,0.078,0.028,146.827,149.283,47.592,51.384,378.915,1.0
189.273,22.815,4.35,0.087,0.031,-161.384,-92.746,14.928,39.837,347.516,1.0
195.837,23.184,4.58,0.084,0.029,-169.483,103.726,16.394,46.592,351.938,1.0
183.672,21.496,4.41,0.072,0.027,83.194,-141.837,39.172,79.463,367.824,1.0
198.726,24.837,4.72,0.069,0.029,-134.926,89.473,-106.384,32.726,347.495,0.0
172.384,69.815,3.82,0.089,0.049,-227.315,149.274,-29.846,11.385,171.592,1.0
175.628,64.273,4.15,0.078,0.041,-219.846,142.637,24.183,12.746,192.638,1.0
168.937,71.462,3.97,0.094,0.052,-214.726,141.837,19.385,9.274,187.364,0.0
181.374,67.528,4.32,0.068,0.037,-236.937,158.462,-35.274,13.284,181.726,1.0
192.485,24.693,4.62,0.078,0.028,146.827,149.283,47.592,51.384,378.915,1.0
189.273,22.815,4.35,0.087,0.031,-161.384,-92.746,14.928,39.837,347.516,1.0
195.837,23.184,4.58,0.084,0.029,-169.483,103.726,16.394,46.592,351.938,1.0
183.672,21.496,4.41,0.072,0.027,83.194,-141.837,39.172,79.463,367.824,1.0
198.726,24.837,4.72,0.069,0.029,-134.926,89.473,-106.384,32.726,347.495,0.0
126.837,47.516,3.92,0.048,0.025,-158.326,94.728,-27.846,67.385,368.274,1.0
129.573,53.816,3.85,0.055,0.031,-142.837,-129.482,33.726,71.495,381.926,1.0
122.726,56.837,4.0,0.038,0.019,-121.647,-126.837,38.726,69.283,393.726,1.0
117.837,62.516,3.78,0.032,0.017,-112.837,-119.726,42.837,73.516,398.726,1.0
135.726,40.816,3.95,0.045,0.028,-116.837,97.273,-33.726,65.194,359.172,1.0
172.384,69.815,3.82,0.089,0.049,-227.315,149.274,-29.846,11.385,171.592,1.0
175.628,64.273,4.15,0.078,0.041,-219.846,142.637,24.183,12.746,192.638,1.0
168.937,71.462,3.97,0.094,0.052,-214.726,141.837,19.385,9.274,187.364,0.0
181.374,67.528,4.32,0.068,0.037,-236.937,158.462,-35.274,13.284,181.726,1.0
