RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
0.9603,31,1,4.3824,3600,6,0,0,0,0,0
0.5373,51,0,0.4859,2900,0,0,1,0,1,0
0.4347,31,0,0,3000,4,0,0,0,3,0
0.9281,49,0,1.6496,6400,8,0,3,98,0,0
0.2682,50,2,0.4049,12000,13,0,0,0,3,0
0.0019,47,0,2.1498,5000,8,0,0,98,0,0
0.9402,35,0,1.0254,5100,6,0,2,0,3,0
0.038,63,0,1.3743,4166,5,0,1,0,0,0
0.8831,44,0,0.4366,6666,8,0,1,0,1,0
0,50,0,0.2294,2,3,0,1,0,0,0
0,50,98,0,2600,5,0,0,0,0,0
0.9078,46,0,0.5207,5416,5,0,0,0,0,0
0.0112,34,0,1.0237,0,15,0,3,0,0,0
0,53,0,0.4304,4666,6,0,1,98,1,0
0,48,0,0,12500,8,0,0,0,3,0
0.0624,58,0,0.2341,9166,11,0,0,0,1,0
0.0129,61,98,0.175,7300,4,0,1,0,0,0
0,43,0,1.4185,3000,4,0,0,98,0,0
0.8229,27,98,0,4500,8,0,0,0,0,0
0.0056,72,0,0,2700,3,0,0,2,0,0
0.0471,61,0,0,6016,7,0,0,0,0,0
0.0539,33,0,1.3369,8333,0,0,2,98,0,0
0,29,2,0,7300,6,0,1,0,1,0
0.0425,73,0,1.0349,2400,0,0,0,0,0,0
1,33,1,0.035,7600,2,1,0,0,0,0
0,35,0,1665,2083,2,0,0,0,0,0
0,59,2,3188,6500,13,0,1,0,0,0
0,44,0,0,2777,2,0,0,0,0,0
0.6467,27,0,206,2500,3,0,0,0,1,0
0.0056,34,0,1.0303,3500,15,0,0,0,0,0
0.0908,46,98,1.6829,7900,13,0,0,0,1,0
0.0841,73,0,6966,0,6,0,1,0,0,0
0.7273,32,0,2.3473,7600,11,0,0,0,0,0
0.041,61,0,2.4939,9800,7,0,0,0,0,0
0.0257,53,0,1.1047,0,0,0,2,0,0,0
0.4039,47,0,2.0738,4300,14,0,0,0,2,0
1,27,98,0.3127,2600,4,0,0,0,0,0
0.0389,61,0,0.1634,13000,7,0,0,9824,0,0
0,50,0,1.1903,4500,10,0,0,0,2,0
0.9647,64,0,0,2700,4,0,0,0,1,0
0.0083,53,98,0.2863,7166,5,0,1,0,0,0
0.012,63,0,0.2426,5414,6,0,1,0,1,0
1.1166,0,98,2.0229,2582,6,0,0,1,0,0
0.9487,51,0,2.4599,3477,19,0,1,0,0,0
0.4159,56,1,0,10800,20,0,0,98,1,0
0.0184,0,98,2.0836,3500,0,0,1,9826,0,0
0,70,0,0,3200,14,98,0,98,0,0
0.0177,59,0,0.3519,5500,0,0,0,98,0,0
0.0252,63,1,0.3332,10200,8,0,0,0,0,0
0.1284,38,0,4.3042,3083,9,0,0,0,1,0
0.1205,44,0,2.0497,5400,8,0,0,0,1,0
0.5688,63,0,0.4381,3500,11,0,1,98,0,0
0.1665,45,0,2.4182,5000,3,0,1,0,1,0
0,74,0,0.2217,8000,14,0,0,0,0,0
0.0919,0,0,3.2032,6000,12,0,0,0,2,0
0.9571,50,1,0,7583,14,0,3,0,2,0
0,48,0,0.3682,4984,6,0,1,0,0,0
0.0417,42,0,0,4166,0,0,0,0,1,0
0,67,0,206.5,14000,7,0,1,9825,0,0
0.1807,54,98,1.2746,5800,6,0,0,0,0,0
0.0151,52,0,1.0335,17000,12,0,2,98,0,0
0.0233,57,98,0.3399,9500,5,0,1,0,0,0
0.0256,45,98,2.1789,2500,11,0,0,0,0,0
0.0178,70,0,0.0038,9333,6,0,0,0,0,0
0.0933,33,0,0.3469,2200,8,0,1,9825,0,0
0.0349,43,0,0.2787,6500,11,0,0,98,0,0
0.0951,59,0,479,0,5,0,0,0,3,0
0.0337,40,1,0,5833,12,0,1,0,0,0
0.0079,67,0,0.255,15000,9,0,1,0,0,0
0,46,0,2.5019,4100,11,0,0,0,1,0
0,42,0,3200,0,13,0,0,0,1,0
0.0036,82,0,0.0077,7500,4,0,0,0,0,0
0.0818,34,0,0.172,7000,7,0,1,0,1,0
0.1764,79,0,0,5000,12,0,1,0,0,0
0.8679,37,2,1.5139,3000,0,0,0,0,0,0
0,44,0,0.1652,4000,7,0,1,98,1,0
0.6265,49,0,6600,5058,5,0,1,98,0,0
0.0171,56,0,0.2957,5200,8,0,0,0,2,0
0.0257,50,0,0.12,3200,0,0,0,0,1,0
0.0374,33,0,1.3337,4300,21,0,2,0,0,0
0,60,0,0.4181,1425,8,0,1,0,0,0
0.0568,54,0,0.2321,17000,8,0,2,0,0,0
0.0295,27,98,1366,1,2,0,0,0,0,0
1,42,0,0.5241,3333,1,0,2,1,5,0
0.7487,49,0,0.4077,3500,12,1,0,0,0,0
0.0374,65,0,1883,1048,4,0,0,0,0,0
0.5996,45,0,1.5341,3172,11,0,0,0,2,0
0.1036,0,9816,2166.5,3448,8,0,1,0,0,0
0.029,26,0,1.152,1200,4,0,0,98,0,0
0.0384,51,0,0,10500,18,0,0,0,0,0
0.0254,57,0,0.0166,15000,6,0,0,0,0,0
0,39,0,605,3300,3,0,0,0,0,0
0.0252,65,0,0.4023,7083,9,0,1,0,0,0
0.0384,45,0,0.3909,4200,7,0,1,98,1,0
0.0446,31,0,0.3614,5200,10,0,1,98,0,0
0.0185,57,1,0.3629,4800,9,0,1,0,0,0
0.0349,47,0,0.4462,4400,16,0,2,0,3,0
0.3254,49,98,0.4825,9700,20,0,1,0,0,0
0,51,0,0.6563,11000,30,0,2,0,2,0
0.0241,0,0,0,10500,16,0,1,0,0,0
0,50,0,0.7887,4333,12,0,0,0,2,0
0,58,0,0,7000,6,0,1,0,0,0
0.0077,61,0,0.2719,8400,11,0,1,0,3,0
0.8888,45,0,1.1584,11000,11,0,2,0,2,0
0,0,0,563,0,3,0,0,98,0,0
0.0566,50,9825,1.7479,8333,8,0,0,0,0,0
0.0044,50,0,1.14,4000,0,0,0,0,1,0
0.1695,56,0,0.2737,0,10,0,1,0,0,0
1,55,0,0.0173,3750,0,0,0,0,0,0
0.0333,46,0,0,7500,15,0,2,98,0,0
0.0079,38,0,3.0384,3600,5,0,0,0,3,0
0.0583,62,0,1.1873,0,12,0,10,0,2,0
0.0374,0,9829,2.3114,4800,10,0,0,9828,0,0
0,36,98,0.3681,14200,11,0,0,0,1,0
0.9901,40,1,2.9161,2800,0,0,1,0,0,0
1,61,98,1892,4333,0,0,2,0,1,0
0,62,0,0.2934,6666,11,0,0,0,0,0
0.0862,57,0,0,6500,14,0,0,0,0,0
0.0242,0,0,2.2491,7200,12,0,1,0,0,0
0.0195,42,0,0.2465,0,9,0,1,9819,0,0
1,59,0,1.2531,4166,2,0,1,0,0,0
0.0401,39,0,0.3629,2760,7,0,2,0,0,0
0.0588,45,0,2.0338,7500,12,0,1,0,1,0
0.0544,0,0,3.0457,4000,9,0,0,0,2,0
0.1245,48,98,2.0237,5500,7,0,1,0,0,0
0.8582,62,2,574,4240,0,0,0,0,0,0
0,41,0,0.3668,3600,3,0,0,0,3,0
1.0185,55,0,0,4500,10,0,0,0,0,0
0.4341,50,0,0.4111,5000,7,0,0,0,2,0
0.0222,53,0,1.1119,3666,14,0,2,98,0,0
0.0053,42,0,0,6056,8,0,0,0,2,0
0.0389,60,0,0.5913,5333,11,0,2,0,0,0
0.1581,48,0,0.3639,5500,7,0,0,0,2,0
0.0354,58,0,0.2864,8333,12,0,1,0,1,0
3.1693,44,1,0.3527,9300,7,0,1,0,4,0
0.0133,30,2,1.0283,1416,0,0,0,98,0,0
0.0129,47,0,0.3543,3100,12,0,1,98,0,0
0.0242,51,0,0.2435,6600,4,0,1,98,2,0
0.0533,47,0,4,10000,6,0,0,0,2,0
0.0898,61,0,0.0375,4500,8,0,0,0,0,0
0,63,98,0,7500,9,0,0,0,0,0
0.0691,51,0,1,4500,0,0,0,0,3,0
0,64,1,0,6166,9,0,3,98,0,0
0,63,0,0,4500,5,0,0,0,0,0
0.0739,0,0,0.1869,5800,0,9822,2,9825,1,0
1,28,0,27,3350,1,3,0,0,4,0
0.1699,53,0,0,6500,10,0,0,0,2,0
0.3325,44,0,0.4308,10500,9,0,1,0,3,0
0,55,1,0.1366,3100,8,0,0,0,1,0
0.8164,59,0,1.0078,7100,11,0,0,0,2,0
0,59,1,0,4500,0,2,0,0,0,0
0.2154,48,0,0,9300,11,0,0,0,3,0
0,40,98,1.0233,3450,13,0,0,0,0,0
0.0537,32,0,2.4181,8283,5,0,0,0,1,0
0.0154,60,0,0,3900,0,0,0,0,0,0
0.0117,49,98,0.2423,8333,6,0,1,0,0,0
0.4229,43,0,0.2727,2000,7,0,0,0,0,0
0.0254,50,0,2.5299,4500,10,0,3,0,0,0
0.1493,64,0,0,5200,9,0,1,0,0,0
0.0229,58,0,4792.5,0,11,0,0,0,0,0
0.0165,72,9816,1.082,0,16,0,2,0,0,0
0.0578,63,0,0.2579,5800,0,0,1,0,2,0
0,25,98,0,2300,3,0,0,0,0,0
0.0071,62,0,0,7500,8,0,2,0,0,0
1.0237,33,4,0,4666,8,0,0,0,0,0
0.0127,33,0,0.2865,4100,6,0,1,0,2,0
0.3109,49,1,0.3115,11000,5,0,0,0,2,0
0.1853,36,0,3.5118,5240,6,0,0,0,1,0
0.8186,44,0,0.4279,3449,5,0,1,98,2,0
0.2375,61,0,3.3813,0,11,0,1,0,0,0
0,38,98,0.7887,4583,7,0,0,0,0,0
0.1401,60,0,0.3029,3155,6,0,1,0,2,0
0.0019,64,0,0.5487,4000,17,0,1,0,0,0
0,35,1,0,3333,4,0,0,0,3,0
0.0691,0,0,1.5278,2000,5,98,0,98,0,0
0,63,0,0,6800,14,0,0,0,1,0
0,64,98,0,12000,5,0,0,0,0,0
0.0244,0,98,1.2315,5600,11,0,0,0,0,0
0.0354,52,0,1.1634,5667,17,0,0,9819,0,0
1,28,0,2.4193,3000,4,0,1,0,3,0
0,68,0,0.2384,11750,5,0,0,0,0,0
0.0547,59,0,0.4832,5500,10,0,2,98,0,0
0.5683,52,0,0.0111,4800,7,0,0,0,1,0
0.0489,39,0,1.3934,7166,11,0,0,0,2,0
0.0366,75,0,0.3699,3400,9,0,0,0,1,0
0.0165,64,0,0.2543,4600,5,0,0,98,0,0
0.0793,51,98,0.4666,9583,17,0,2,0,0,0
0.9458,67,0,2.029,2750,11,0,0,0,0,0
0.7298,54,0,1.1596,10500,24,0,2,0,1,0
0.0499,45,0,1.0253,5200,10,0,4,0,3,0
0.0042,0,98,2.1906,5400,6,98,0,0,0,0
0.0333,52,0,0.3172,5500,17,0,2,0,3,0
0.0029,54,98,0.5769,4100,8,0,1,0,0,0
0,70,0,0.8,12000,14,0,3,0,2,0
0.1155,37,1,2.0104,6500,4,0,0,0,1,0
0.5473,58,3,1.0228,2200,9,0,0,0,0,0
0.9982,50,98,1.1523,0,18,0,0,0,0,0
0.1868,48,0,0,9100,10,0,2,98,0,0
0.1595,45,98,1.1364,7083,10,0,0,0,0,0
0.1801,49,1,0.1706,4200,7,0,0,0,2,0
0.5015,62,1,2.0333,4500,13,0,0,0,0,0
0.0411,52,98,0,7333,12,0,0,0,0,0
0.0141,0,0,2.1735,3900,9,0,0,0,1,0
0.0157,43,0,0.0039,6100,7,0,0,98,0,0
0,39,0,0,6000,16,0,0,98,0,0
0.057,59,0,0.4068,7000,8,0,1,98,0,0
0.0786,50,0,2.2998,6500,7,0,0,0,1,0
1,32,98,0.3837,0,2,0,1,0,0,0
1,31,0,0.0481,2400,0,0,0,0,3,0
0,46,0,0,5300,7,0,0,9817,2,0
0.0237,34,0,0,4000,8,0,0,0,1,0
0.0233,39,0,0,5666,9,0,1,0,0,0
0.0467,28,0,0.4333,6000,7,0,0,0,0,0
0.0527,48,98,0,10385,20,0,2,98,2,0
0.0207,51,0,0.4927,13600,7,0,0,0,2,0
0.0164,63,0,0.8,6100,0,0,0,0,0,0
0.9302,38,0,2.3393,11750,15,0,4,0,0,0
0.0181,66,0,0.2435,5000,7,0,1,0,0,0
0,49,0,1.1135,9166,16,0,2,0,3,0
0,40,1,4165,9881,0,1,2,0,1,1
0.6633,0,3,5791.5,4333,6,0,1,0,0,1
0.043,40,0,0.2733,0,10,0,0,0,0,1
0.3272,61,2,0,6500,18,0,3,0,0,1
1.0241,33,3,0.3584,3029,6,0,0,1,2,1
1.135,44,0,0,5500,17,0,1,98,0,1
0.0232,0,0,1.4178,9166,10,0,0,0,1,1
1.0534,34,1,0.0231,3600,4,1,0,2,3,1
0.9773,53,0,0.7367,3300,5,0,0,0,3,1
0.0973,61,98,0,5166,4,0,0,98,0,1
0.9335,46,0,0,7500,10,1,3,0,0,1
0.9402,44,1,0.5678,7333,8,0,0,0,2,1
0.125,35,98,0,5000,3,0,0,0,0,1
0.0627,31,0,0,3900,0,0,2,98,0,1
0.9703,44,0,0,6400,9,1,0,2,3,1
0.0434,59,1,1394,2200,7,1,0,0,0,1
0.8981,57,0,2189,0,6,0,1,98,0,1
0,48,1,1.0823,2800,6,1,0,2,3,1
0.7966,53,0,0.6609,9000,16,0,2,98,0,1
0.2927,28,0,5.9993,2960,4,0,0,0,0,1
0.9547,54,0,1.3258,0,17,0,2,0,0,1
0.0257,39,0,0,3200,7,1,0,0,2,1
0,59,98,1.1119,1655,6,0,0,0,0,1
0.7294,48,1,3.2362,4500,7,0,0,0,2,1
0.7444,29,3,2.0249,2000,0,0,0,0,0,1
0.0354,49,98,2.7019,5000,12,0,0,0,0,1
1.2839,28,1,2.0229,0,5,0,0,0,3,1
0,58,0,0.2594,6666,8,0,0,0,1,1
0.5497,42,2,0.2182,7500,13,0,0,0,0,1
0.6135,41,0,0.3794,5500,5,0,1,0,0,1
1.0468,27,1,0.0615,3300,13,0,0,0,0,1
0.0455,69,0,0.4032,10000,6,0,0,0,0,1
1,29,98,0.0123,4800,2,0,0,0,0,1
0.0126,61,2,0.3683,0,9,3,2,0,0,1
0.9953,50,0,206.5,3500,4,0,0,0,2,1
1.1051,46,0,0,3900,5,0,0,0,1,1
0.9765,39,5,206.5,3100,0,0,1,1,1,1
0.1139,46,98,0,5000,10,0,2,0,0,1
0.9718,39,2,0,6000,20,4,0,0,3,1
0.7368,59,0,2.2779,0,11,0,3,0,0,1
0.8523,53,1,2.8229,3750,13,0,0,0,0,1
0.4169,0,98,1,6000,4,98,0,0,0,1
0.0244,45,98,1.2693,1500,8,0,0,0,0,1
1,49,0,6.6378,5000,0,0,0,0,3,1
0.4137,52,98,0,6100,0,0,2,98,0,1
1,39,1,0,14500,4,0,0,0,3,1
0.9334,29,1,9.7479,0,11,1,0,98,0,1
0.9578,47,98,574,3200,4,0,0,0,2,1
0,36,1,0,8700,12,0,0,0,2,1
0.0254,52,0,0.1725,13000,7,0,0,98,0,1
0.7479,32,2,0.4492,3833,7,0,1,0,1,1
1,36,1,206.5,0,3,1,0,2,0,1
0.1466,42,0,0.2495,4500,0,0,0,0,3,1
0,78,0,0.002,5300,3,0,0,98,0,1
1,45,98,0.0537,2000,0,0,0,0,0,1
1.0544,26,0,11.0349,2500,5,0,0,1,0,1
1,37,0,0.0016,28,3,0,0,0,0,1
1,28,0,3.0222,2700,2,4,0,0,0,1
0.0252,50,0,0.3229,9300,9,0,2,0,2,1
0,26,0,0.0818,3550,3,0,0,0,0,1
0.6438,47,2,0,6100,15,0,0,0,3,1
0.0196,40,0,2.0664,6333,0,0,0,98,0,1
0.9381,45,2,1.0836,0,0,0,2,0,3,1
0.9726,33,4,0,6451,14,0,0,0,0,1
0.0077,44,98,0.4927,4666,9,0,1,0,0,1
0.9652,30,2,2120,3200,5,1,0,1,2,1
0.0715,54,1,0,9583,14,0,0,0,0,1
0.6103,53,0,0.1749,9583,13,0,0,0,2,1
1.0408,28,0,1.3233,4200,0,0,0,9826,0,1
0,42,0,0.4,3100,12,0,0,0,0,1
0.9659,35,0,0.3971,8166,10,0,1,98,0,1
1,28,0,0,2500,3,0,0,1,0,1
0.9659,44,98,0,4700,0,0,0,0,1,1
0.7487,53,0,2.0935,7500,7,0,0,0,0,1
0,44,0,0.5016,9300,14,0,0,0,1,1
0.7175,61,1,0,4583,15,0,2,0,1,1
0.9962,56,0,0.5683,7000,8,0,2,0,0,1
0,42,0,1.3492,4000,10,0,1,0,2,1
0.0167,66,0,1.0309,4800,8,0,2,0,0,1
0.7748,30,2,2133,1600,3,0,0,9828,0,1
0.74783,0,1,2.4231,3995,3,0,0,0,3,1
0.7793,57,0,0.1323,6583,8,0,0,0,0,1
0.7175,41,0,1.3023,4500,8,0,0,0,0,1
0.6458,55,0,0,3200,4,0,0,0,0,1
1.0334,52,98,0,4175,8,0,2,0,0,1
1.0195,68,0,206.5,0,7,3,0,2,1,1
0,57,1,0,6750,14,0,0,0,0,1
1.0468,34,1,0.1475,2800,2,4,0,1,0,1
1.0208,27,1,0.1484,3100,0,2,0,1,0,1
