date,period,nswprice,nswdemand,vicprice,vicdemand,transfer,class
0.4253,0.3617,0.0898,0.5196,0.0035,0.4229,0.4149,0
0.44,0.2979,0.0988,0.6076,0,0.4229,0.4149,0
0.02192851,0.787219,0.0839,0.4021,0.0035,0.4229,0.4149,0
0.443,0.6809,0.0495,0.4848,0,0.554907,0.3201,0
0.0133,0.34,0.0895,0.4881,0.00350035,0.4229,0.4,0
0.4298,0.5532,0.0874,0.5138,0.0035,0.4229,0.4149,0
0.4,0.4,0.0685,0.5336,0.0035,0.4229,0.4149,0
0.4563,0.0426,0.0279,0.3005,0.001,0.3713,0.793961,0
0.0219,0.297985,0.0775,0.2093,0.0035,0.4229,0.4149,0
0.0187,0.2128,0.0697,0.1138,0.0009,0.4229,0.4149,0
0.4246,0.4894,0.0745,0.3416,0.0035,0.4229,0.4149,0
0.4043,0.3,0.0851,0.3868,0.0035,0.4229,0.4149,0
0.8989,0.4,0.0882,0.5181,0.0901,0.5412,0.364566,0
0.0267,0.27666,0.0518,0.2209,0.0035,0.4229,0.4149,0
0.4255,0.297943,0.0894,0.4232,0.0035,0.383,0.4149,0
0.6809,0.4043,0.0852,0.4722,0.005632,0.5391,0.5246,0
0.4424,0,0.0874,0.4033,0.0058,0.3837,0.5,0
0.4335,0.4894,0.0955,0.4518,0.0035,0.4229,0.4149,0
0.4339,0.5745,0.053,0.3731,0.0035,0.4229,0.4149,0
0.4424682,0.4255,0.0618,0.5683,0.0651,0,0.5001,0
0.0035,0.4894,0.0838,0.5195,0.0035,0.4229,0.4149,0
0.4894,0.7021,0.0661,0.4774,0.0035,0.4229,0.54,0
0.4606,0.4681,0.0359,0.4667,0.0025,0,0.283395,0
0.446872,0.897936,0.0838,0.3916,0,0.4229,0.4149,0
0.439,0.8085,0.0599,0.4073,0.0035,0.4229,0.4149,0
0.5532,0.5532,0.0413,0.7486,0,0.63,0.4088,0
0.4,0.9787234,0.0973,0.3862,0.0035,0.4229,0.4149,0
0.32,0.8085,0.0425,0.4643,0.0028,0.3423,0.46,0
0.005044,0.4894,0.054,0.5284,0.0035,0.4229,0.4149,0
0.4681,0.36170213,0.041,0.3301,0.0028,0.2905,0.83643,0
0.4333,0.0213,0.0475,0.2742,0.0035,0.4229,0.4149,0
0.4471,0.4043,0,0.5577,0.0409,0.4625,0.5057,0
0.4383,0.446851,0.0882,0.5183,0,0.4229,0.4342,0
0.474101,0.4255,0.0308,0.4935,0.0019,0.4342,0.5461,0
0.8851,0.6596,0.0702,0.5481,0.0044,0.4068,0.5246,0
0.0009,0.4894,0.0811,0.5481,0,0.4229,0.4149,0
0.442877,0.4681,0.0551,0.5524,0.0035,0.5049,0.442513,0
0.443,0.4043,0,0.5034,0.0046,0.597977,0.3162,0
0.4249,0.383,0.0917,0.4339,0.0035,0.4229,0.4149,0
0.4335,0.7234,0.0874,0.3268,0.0035,0.4229,0.4149,0
0.3617,0.383,0.0596,0.4021,0.0035,0.4229,0.4,0
0.8936,0.7,0.0972,0.7453,0.0067,0.6075,0.5746,0
0.8804,0.766,0.0337,0.5205,0.0009,0.5026,0.6316,0
0.4599,0.383,0.0437,0.5513,0.0031,0.4259,0.3925,0
0.4604,0.44682,0.0422,0.5451,0.0028,0.55,0.5684,0
0.4253,0.7234,0.0763,0.2788,0.0035,0.4229,0.4149,0
0.4255,0.8723,0.0822,0.6046,0.0035,0.4229,0.4,0
0.0179,0.3617,0.0745,0.4021,0.0035,0.4229,0.4149,0
0.0135,0.4894,0.0536,0.565,0.0035,0.4229,0.382,0
0.8986,0.766,0.0731,0.6494,0.003961,0.4933,0,0
0.4255,0.383,0.0748,0.3416,0.0035,0.4229,0.4149,0
0,0.4043,0.1061,0.496,0.0035,0.4229,0.4149,0
0.4475,0.6383,0.0275,0.3819,0.0019,0.3537,0.4643,0
0.9574,0.4043,0.0748,0.3932,0.0035,0.4229,0.4149,0
0.234,0.595745,0.0878,0.3889,0.0035,0.4229,0.4149,0
0,0.3617,0.0599,0.5244,0.0035,0.4229,0.4149,0
0.4296,0.3617,0.0979,0.3514,0.0035,0.4229,0.4149,0
0.4247,0.383,0.0748,0.3121,0.0035,0.4229,0.4149,0
0.6809,0.9362,0.0576,0.2852,0,0.4229,0.4,0
0.4386,0.5319,0.0563,0.3981,0.0035,0.4,0.4149,0
0.443,0.4,0.0678,0.5546,0.0046,0.4513,0.6833,0
0.5106,0.383,0.0685,0.3542,0.0035,0,0.4149,0
0.4336,0.2553,0.0748,0.3521,0.0035,0.4229,0.4149,0
0.8936,0.6596,0.0684,0.3262,0.0035,0.4229,0.4149,0
0.4249,0.234043,0.0894,0.394,0.0035,0.4229,0.4149,0
0.4246,0.3404,0.0823,0.4359,0,0.4229,0.4149,0
0.45582,0.5106,0.0768,0.5284,0.0055,0.474632,0.4,0
0.4253,0.3404,0.0757,0.5512,0.0035,0.4229,0.4149,0
0.4341,0.6809,0.0677,0.5129,0.0035,0.4229,0.4149,0
0.4391,0.3404,0.061,0.2618,0.0035,0.4229,0.4149,0
0.234043,0.3617,0.061,0.3137,0.0035,0.4229,0.4149,0
0.4741,0.44682,0.0292,0.4232,0.0018,0.3581,0.5114,0
0.2766,0.29797872,0.0888,0.3972,0.0035,0,0.4149,0
0.4609,0.3191,0.063,0.5333,0.0651,0.5653,0.3851,0
0.0228,0.7021,0.0811,0.503,0.0035,0.4229,0.4,0
0.4337,0.3617,0.0561,0.3533,0.0035,0.4229,0.4149,0
0.4513,0.5319,0.0403,0.5179,0.0027,0.5022,0.6039,0
0.9866,0.4894,0.0491,0.5179,0.0033282,0.5554,0.3096,0
0,0.851177,0.0591,0.3948,0.0041,0.3884,0.555781,0
0.9362,0.6383,0.0854,0.5037,0,0.4229,0.4149,0
0.00511,0.8085,0.0863,0.5464,0.0035,0.4229,0.4149,0
0.4,0.3404,0.0576,0.5128,0.0035,0.4229,0.4149,0
0.297985,0.7872,0.0748,0.3783,0,0.4229,0.4149,0
0,0.4043,0.0274,0.5043,0.0017,0.6341,0.59,0
0.0312,0.446872,0.0781,0.402,0.0035,0.4229,0.4149,0
0.44682,0.3404,0.0748,0.3328,0,0.4149,0.4149,0
0.234043,0.0426,0.0293,0.1553,0.557,0.353701,0.5702,0
0.4379,0.787214,0.1019,0.4151,0.0035,0.4229,0.4149,0
0.4335,0.5532,0.0748,0.3753,0.0035,0.4229,0.4149,0
0.87239035,1,0.0271,0.3448,0.0009,0.306,0.742553,0
0.9362,0.8511,0.0951,0.4542,0.0035,0.4229,0.4149,0
0.4557,0,0.0522,0.4116,0.003617,0.5417,0.4894,0
0.0182,0.4043,0.0469,0.5522,0.0035,0.4229,0.382,0
0.44682,0,0.0433,0.2631,0.0029,0,0.5583,0
0.4467,0.5745,0.045,0.5104,0.0031,0.486,0.3509,0
0.0054,0.0426,0.0852,0.3738,0.005101,0.4229,0.4149,0
0.0275,0.383,0.0035,0.4884,0.0035,0.4229,0.4149,0
0.4732,0.44682,0.0325,0.4961,0.0021,0.4829,0.5877,0
0.0046,0.4255,0.1081,0.5195,0.0035,0.4229,0.4,0
0.8085,0,0.029,0.3349,0.001,0,0.6092,0
0.44686,0.383,0.0434,0.5196,0.0029,0.5065,0.4,0
0.47337215,0.4681,0.0298,0.3701,0.5319,0.233,0.7066,0
0.005,0.5532,0.0753,0.5335,0.0035,0.4229,0.4149,0
0.4255,0.5106,0.0874,0.6038,0.00350035,0.4229,0.4342,0
0.44682,0.5532,0.1013,0.4951,0.0035,0.4229,0.4149,0
0.4347,0.0638,0.0518,0.2841,0.0035,0.4229,0.4149,0
0.4342,0.5532,0.0563,0.5128,0.0035,0.4229,0.4149,0
0.8989,0.3191,0.066,0.6227,0.0045,0.5394,0.6816,0
0.4692,0.7021,0.0592,0.4923,0.004,0.43604601,0.468,0
0.4681,0.5532,0.0883,0.5195,0,0.4229,0.4,0
0.443066,0.4043,0.0534,0.4607,0.0036,0.3348,0.5526,0
0.4253,0.5319,0.0714,0.314,0.0035,0.4229,0.4149,0
0.4,0.383,0.0748,0.5183,0.0035,0.4229,0.4149,0
0.4693,0.3404,0.0709,0.5549,0.005101,0.5624,0.5246,0
0.9362,0.89,0.0901,0.4087,0.0035,0.4229,0.2553,0
0.01811,0.4255,0.075,0.5549,0.0638,0,0.4149,0
0,0.3404,0.0755,0.4453,0.004838,0.3597,0.5005,0
0.0141,0.383,0.0596,0.5138,0.0035,0.4229,0.4,0
0.4643,0.7021,0.0294,0.299,0.0019,0,0.4697,0
0.4566,0.7021,0.0642,0.4667,0.0638,0.48,0.493057,0
0.7234,0.0426,0.0753,0.3338,0.0035,0.4229,0.4149,0
0.4337,0.4894,0.0413,0.5333,0.0035,0.4229,0.4149,0
0.4606,0.787219,0.0304,0.3801,0.0272,0.374601,0.5601,0
0.4255,0.383,0.0806,0.5296,0.0035,0.4229,0.4149,0
0.0225,0.383,0.0736,0.4209,0.0035,0.4229,0.4149,0
0.893617,0.78,0.0863,0.6546,0.005745,0.5303,0.3,0
0.0003162,0.4894,0.1497,0.4799,0.0035,0.4229,0.4149,0
0.4251,0.4043,0.0699,0.5115,0.0035,0.4229,0.4149,0
0.881,0.4043,0.0297,0.3576,0.0019,0.2543,0.7224,0
0.4253,0.4043,0.0711,0.5054,0.0035,0.4229,0.4149,0
0.8676,0.2766,0.0285,0.1623,0.001559,0.2879,0.854825,0
0.4246,0.446851,0.0751,0.5268,0.0035,0.4229,0.4149,0
0.4339,0.4043,0.0429,0.5259,0.0035,0.4229,0.4149,0
0.3,0.9787,0.0893,0.446,0.0035,0.4229,0.4149,0
0.3807447,0.3404,0.093,0.5678,0.0035,0.4229,0.3298,0
0.4522,0.44,0.0396,0.5256,0.00268,0.4345,0.4596,0
0.89,0.383,0.0748,0.3981,0.0035,0.4229,0.4149,0
0.0046,0.4043,0.1061,0.4966,0.0035,0.4229,0.4149,0
0.4255,0.383,0.075,0.5181,0.0035,0.4229,0.4,0
0.4294,0.6596,0.0895,0.5262,0.0035,0.4229,0.4149,0
0.4257,0.4043,0.0988,0.5339,0.0035,0.4229,0.4149,0
0.455873,0.4043,0.0914,0.5712,0.006,0.54,0,0
0.4295,0.3404,0.0898,0.616,0.0035,0.4229,0.4149,0
0,0.4681,0.0745,0.3079,0.0035,0.4229,0.4149,0
0.0269,0.8085,0.0958,0.3865,0.0035,0,0.4,0
0.8807,1,0.032,0.3555,0.0008,0.3105,0.7241,0
0.4255,0.297943,0.0844,0.3133,0.0035,0.4229,0.4149,0
0.45582,0.7447,0.0805,0.6276,0.0055,0.5391,0.5504,0
0.4427,0.383,0.0896,0.535,0,0.5489,0.4,0
0.443,0.2553,0.0343,0.1691,0.0023,0,0.443461,0
0.009,0.4043,0.13,0.5821,0.0035,0.4229,0.4,0
0.476851,0.4894,0.033,0.3496,0.0022,0.2579,0.6053,0
0.8893,0.7872,0.0289,0.3951,0.002,0.3563,0.6342,0
0.4566,0.4043,0.0531,0.6827,0.0037,0.6774,0.389,0
0.89365868,0.5532,0.0556,0.6431,0.0039,0.4917,0,0
0.0051,0.0426,0.07,0.3673,0.0035,0.4229,0.4149,0
0.4149,0.234043,0.0691,0.4137,0.0035,0,0.4149,0
0.4338,0.3404,0.0584,0.2376,0.0035,0.4229,0.4149,0
0.4741,0.8298,0.0288,0.5821,0.02,0.492,0.4833,0
0.4,0.3404,0.0601,0.4817,0.0035,0.4229,0.4149,0
0.0226,0.5106,0.0811,0.4899,0.0035,0.4229,0.4149,0
0.8983,0.2766,0.0294,0.3985,0,0.354,0.5807,0
0.297985,0.446872,0.0748,0.3969,0.0035,0,0.4149,0
0.0008,0.297985,0.0891,0.4397,0.00350035,0.4229,0.4149,0
0.4335,0.5,0.0838,0.4921,0.0035,0.4229,0.4149,0
0.4513,0.6809,0.0391,0.5982,0.0026,0.5062,0.443035,0
0.8989,0.4894,0.0612,0.5293,0.0042,0,0.582,0
0.4,0.4894,0.0811,0.5692,0.0035,0.4229,0.4149,0
0.021377726,0.6809,0.0677,0.4766,0.0035,0.4229,0.4149,0
0.894096,0.0426,0.0617,0.3963,0.0034,0,0.66,0
0.4473,0.27,0.112,0.5692,0.0035,0.4229,0.4149,0
0.4255,0.383,0.0752,0.5012,0.0035,0.4229,0.4149,0
0.0231,0.234043,0.0902,0.449,0.003518,0.4229,0.4149,0
0.0226,0.4894,0.0898,0.4625,0.0035,0.4229,0.4149,0
0.4337,0.3617,0.0828,0.4664,0.0035,0.4229,0.4149,0
0.0426,0.0638,0.0748,0.0578,0.0035,0.4229,0.4149,0
0.4255,0.5106,0.0601,0.2664,0.0035,0.4229,0.4149,0
0.0035,0.27666,0.0891,0.3978,0.0035,0.4229,0.4149,0
0.4253,0.787219,0.0714,0.407,0.0035,0.4229,0.4,0
0.0141,0.2553,0.0748,0.2944,0.0035,0.4229,0.4149,0
0.4,0.4289,0.0802,0.5732,0.0035,0.4229,0.4149,0
0.0754,0.5106,0.0885,0.5768,0.0035,0.4229,0.3162,0
0.2553,0.44682,0.1033,0.3889,0.0035,0.4229,0.4149,0
0.4,0.3617,0.074894,0.5196,0.0035,0.4229,0.4149,0
0.439,0.3617,0.0566,0.4353,0.0035,0.4229,0.3,0
0.8762,0.2553,0.0286,0.3849,0.0008,0.3657,0.6873,0
0.0228,0.4681,0.1062,0.5179,0.0035,0.4229,0.4149,0
0.3617,0.4,0.0599,0.4557,0.0035,0.4229,0.4149,0
0.4378,0.4043,0.0552,0.5138,0.0035,0.4229,0.4149,0
0.4467,0.6809,0.044045,0.5592,0.003066,0.5021,0.4697,0
0.234043,0.5745,0.1093,0.3878,0.0035,0.4229,0.4149,0
0,0.382,0.078,0.497,0,0.4229,0.4149,0
0.0318,0.5106,0.0599,0.3114,0.0035,0.4229,0.4149,0
0.4599,0.4043,0.0519,0.5183,0.0035,0.4197,0.5031,0
0.4258,0.4043,0.08,0.5342,0.0035,0.4229,0.4149,0
0.4043,0.7021,0.0747,0.5183,0,0.4229,0.4149,0
0.9362,0.297985,0.103,0.4307,0,0.4229,0.766,0
0.89,0.53,0.0894,0.4148,0.0035,0,0.4149,0
0.446872,0.5957,0.0522,0.3328,0.0035,0.4229,0.4149,0
0.4255,0.5689,0.0536,0.3347,0.0035,0.4229,0.4149,0
0,0,0.0809,0.4096,0.0035,0.4229,0.4149,0
0.4335,0.4043,0.0748,0.3326,0.0035,0.4229,0.4149,0
0.4338,0.7021,0.0518,0.4649,0.0035,0.4229,0.4,0
0.01313,0.4894,0.0921,0.4649,0.0035,0.4229,0.4149,0
0.4568,0.3191,0.0398,0.5183,0.0027,0.5945,0.5184,0
0.8991123,0.4255,0.0656,0.585,0,0.6098,0.5189,0
0,0.3404,0.0686,0.4503,0.00464,0.4456,0.5005,0
0.4423,0.7234,0.0766,0.3768,0.0053,0.3532,0.5005,0
0,0.787219,0.0907,0.4399,0.0035,0.4229,0.4149,0
0.9115,0.0213,0.0418,0.2879,0.002851,0.371,0.6895,0
0.8298,0.5532,0.0888,0.4021,0.0035,0.4229,0.4149,0
0.4342,0.4255,0.1529,0.6351,0.0035,0.4229,0.4149,0
0.4254,0.5532,0.0854,0.5333,0.0035,0.4229,0.4149,0
0.8804,0.2553,0.0304,0.4033,0.002022,0.4104,0.6482,0
0.005083,0.383,0.0918,0.4351,0.003544,0,0.4149,0
0.0268,0.3404,0.0634,0.3944,0.0035,0.4229,0.4149,0
0.4289,0.4043,0.0748,0.3529,0.0035,0.4229,0.4149,0
0.4824,0.2766,0.0477,0.37,0.003351,0.4047,0.5583,0
0.876732,0.3191,0.0331,0.4655,0.0022,0.4547,0.6934,0
0.89,0.8298,0.0844,0.6037,0,0.4229,0.4149,0
0.8674,0.383,0.0304,0.4973,0.002035,0.4508,0.5864,0
0.4342,0.2766,0.0811,0.4485,0,0.4229,0.4149,0
0.7724,0.234043,0.0294,0.339,0.0019,0.3695,0.746956,0
0.89,0.4681,0.0891,0.4572,0.006053,0.494,0.5092,0
0.4253,0.2766,0.0838,0.4158,0.003553,0.4229,0.4149,0
0.4253,0.8298,0.0584,0.3291,0.0035,0.4229,0.4149,0
0.4644,0.021377,0.0294,0.1736,0.002022,0.2856,0.5842,0
0.9027,0.29,0.0765,0.486,0.0049,0.54,0.4658,0
0.4254,0.5532,0.0763,0.5293,0.0035,0.4229,0.4,0
0.4229,0.4043,0.1197,0.5019,0.0035,0.4229,0.4,0
0.0133,0.766,0.0697,0.5259,0.0035,0.4229,0.4229,0
0.3617,0.5106,0.0482,0.4795,0.0035,0.4229,0.4149,0
0.4257,0.8723,0.0861,0.3228,0.0035,0.4229,0.4149,0
0.44,0.383,0.098,0.5333,0.0035,0.4229,0.4,0
0.9149,0.595745,0.0435,0,0.0028,0.2421,0.7943,0
0.8936,0.5532,0.0688,0.432,0.0035,0.4229,0.4149,0
0.898112,0.0638,0.0717,0.4609,0.0451,0.4974,0,0
0.00511,0.5532,0.078,0.5247,0.0035,0.4229,0.4149,0
0.4513,0.9362,0.0429,0.5138,0.0016,0.4042,0.6132,0
0.383,0.4894,0.1683,0.4665,0,0.4229,0.4149,0
0.4298,0.7021,0.1144,0.4827,0.0035,0.4229,0.4149,0
0.46,0.7021,0.0289,0.3701,0.0008,0.3105,0.6925,0
0.4149,0.29797872,0.0684,0.3352,0.0035,0.4229,0.4149,0
0,0.2553,0.067,0.2376,0.0035,0.4229,0.4149,0
0.4255,0.3617,0.0569,0.508,0.0035,0.4229,0.4149,0
0.4564,0.3191,0.0898,0.5115,0.005974,0.5844,0.4825,0
0.443066,0.4681,0,0.5628,0.0052,0.5189,0.4083,0
0.4342,0.3617,0.0546,0.4335,0.0035,0.4229,0.4149,0
0.8989,0.89,0.0873,0.4542,0.0058,0,0.5482,0
0.4254,0.3617,0.0828,0.4337,0.0035,0.4229,0.4149,0
0.00382,0.25,0.057,0.4171,0.0035,0.4229,0.4149,0
0.4694,0.4043,0.0287,0.3126,0.0018,0.1851,0.514,0
0.0308,0.4043,0.0916,0.5262,0.0035,0.4229,0.4,0
0.27,0.3191,0.0778,0.2471,0.0035,0.4229,0.4149,0
0.469,0.4894,0.0563,0.5247,0.004039,0.5052,0.56,0
0.005427,0.383,0.0824,0.4453,0.00350035,0.4229,0.4149,0
0.43,0.3617,0.0823,0.551,0.0035,0.4229,0.4,0
0.4253,0.2553,0.076,0.1616,0.0035,0.4229,0.4149,0
0.473904,0.617,0.0552,0.5809,0.0037,0.51,0.4894,0
0,0.8085,0.074527,0.3808,0.0035,0.4229,0.4,0
0,0.53,0.0855,0.5417,0.0035,0.4229,0.4149,0
0.0054,0.29,0.0874,0.4409,0.0035,0.4229,0.4149,0
0.4249,0.5745,0.0838,0.3237,0.0035,0.4229,0.4149,0
0.4379,0.9574,0.0754,0.5247,0.0035,0.4229,0.4149,0
0.44707,0.5532,0.0487,0.5339,0,0.5096,0.44,0
0.4289,0.4681,0.0576,0.3676,0.0035,0.4229,0.4149,0
0.0184,0.8085,0.0763,0.3819,0.0035,0,0.4149,0
0.5532,0.9362,0.0567,0.2938,0.0035,0.4229,0.4149,0
0.461,0.4043,0.0237,0.5195,0.002,0,0.7066,0
0.4606,0.4043,0.0346,0.5207,0.0024,0.47463,0.4,0
0.4289,0.55,0.0838,0.3798,0.0035,0.4229,0.4149,0
0.474101,0.4894,0.0294,0.5327,0.0019,0.5471,0.3623,0
0.8804,0.8298,0.0763,0.5702,0.004899,0,0.686,0
0.9076,0.4043,0.0901,0.4982,0.0065,0.5404,0.29,0
0.0054,0.4681,0.077872,0.3799,0.0035,0.4229,0.4,0
0.4894,0.4043,0.0753,0.5043,0.0035,0,0.4149,0
0.5745,0.7234,0.0697,0.5333,0.0035,0.4229,0.4149,0
0.8676,0.4894,0.0311,0.4729,0.0018,0.339,0.8298,0
0.443,0.3617,0.0628,0.5019,0,0.5632,0.4894,0
0.4253,0.4043,0.0848,0.3392,0.0035,0.4229,0.4149,0
0.4255,0.6596,0.0748,0.3343,0.0035,0.3444,0.4149,0
0,0.6383,0.088,0.4464,0.0035,0,0.4149,0
0.0268,0.87,0.0684,0.6015,0.0035,0.4229,0.4149,0
0.4339,0.9362,0.053,0.3904,0.0035,0.4229,0.4338,0
0.4253,0.766,0.12,0.472,0.0035,0.4229,0.4149,0
0.4603,0.5319,0.0418,0.475,0.002969,0.4487,0.267101,0
0.87,0.4043,0.0412,0.5128,0.0019,0.49615,0.6851,0
0.44,0.5319,0.0472,0.4042,0.0025,0.3651,0.5079,0
0.0035,0.5532,0.1086,0.4821,0.0035,0.4229,0.4149,0
0.8,0.766,0.0884,0.4491,0.0059,0.4518,0.5518,0
0.4254,0.6809,0.0856,0.5802,0,0.4229,0.4149,0
0.4387,0.3,0.0585,0.5077,0,0.4229,0.4149,0
0.4249,0.8511,0,0.5269,0.0035,0.4229,0.4149,0
0.4,0.4043,0.0928,0.5247,0.003566,0.4229,0.4149,0
0.4474,0.5745,0.0468,0.7014,0,0.6173,0.4772,0
0.2846,0.234083,0.0276,0.2465,0.0019,0.3658,0.5246,0
0.4255,0.8511,0.0763,0.5183,0.0035,0.4229,0.4149,0
0.4254,0.4,0.1169,0.5481,0.0035,0.4,0.4149,0
0.4563,0.234043,0.0309,0.3618,0.03,0.3972,0.6873,0
0.0042,0.5319,0.0733,0.5293,0.0035,0.4229,0.4149,0
0.4255,0.766,0.0599,0.3713,0.0035,0,0.4149,0
0.2553,0.48,0.0778,0.3633,0.0035,0.4229,0.4149,0
0.867539,0.4,0.0303,0.3969,0.0019,0.2768,0.568096,0
0.4337,0.383,0.07,0.4821,0.0035,0.4229,0.4149,0
0.4335,0.8298,0.078,0.319,0.0035,0.4229,0.4149,0
0.4229,0.5106,0.0828,0.4137,0,0,0.4149,0
0.4295,0.89,0.0754,0.442,0.0035,0.4229,0.4149,0
0.383,0.446872,0.0902,0.5774,0.0471,0.4229,0.4149,0
0.4378,0.4894,0.057,0.5774,0.0035,0.4229,0.4149,0
0.4383,0.3404,0.0683,0.5048,0.0035,0,0.4149,0
0.4253,0.3617,0.0806,0.5161,0.0035,0.4149,0.4,0
0.473977,0.234043,0.0312,0.3658,0.0007,0.3138,0.8673,0
0.4253,0.2979,0.0748,0.4938,0.0035,0.4229,0.4149,0
0.4388,0.2553,0.0599,0.1845,0.0035,0.4229,0.4149,0
0.4253,0.4043,0.0898,0.4491,0.0035,0.4229,0,0
0,0.4606,0.0426,0.7459,0.002866,0.5678,0.5618,0
0,0.5106,0.0584,0.4737,0.0035,0.4229,0.4149,0
0.766,0.7234,0.0689,0.5183,0.0046,0.456518,0.5057,0
0.8724,0.0638,0.0526,0.475,0.003654,0.496921,0.6627461,0
0.2553,0.9574,0.0823,0.3801,0.0035,0.4229,0.4,0
0.0175,0.595745,0.076,0.289,0.0035,0.4229,0.4149,0
0.4253,0.383,0.0618,0.5525,0.0035,0.4229,0.4149,0
0.9116,0.297985,0.0502,0.4969,0.0035,0.4961,0.46563,0
0.4,0.383,0.0413,0.5476,0,0.4513,0.464592,0
0.4298,0,0.0035,0.4219,0.0035,0.4229,0.4149,0
0.4681,0.5106,0.0749,0.3114,0.0035,0.4229,0.4149,0
0.44682,0.4043,0.0836,0.4829,0.0035,0.4229,0.4149,0
0.4252,0.7234,0,0.2765,0.0035,0.4229,0.4149,0
0.0273,0.595745,0,0.319,0.0035,0.297985,0.4149,0
0.5106,0.3617,0.081,0.3242,0,0.4229,0.4149,0
0.4467,0.297936,0.0436,0.4612,0,0.4368,0.57,1
0.4255,0.0213,0.0495,0.2463,0,0.4229,0.4149,1
0.4343,0.297985,0.0441,0.3087,0.0035,0.4229,0.4149,1
0,0.6809,0.0413,0.2849,0.0035,0.4229,0.4149,1
1,0.3617,0.0563,0.2406,0.0035,0.4229,0.4149,1
0.0221,0.1489,0.0464,0.1372,0.0035,0.4229,0.4149,1
0.0265,0.234043,0.0498,0.2059,0.0035,0.4229,0.4149,1
0.432,0.27666,0.0599,0.4372,0.0035,0.4229,0.4149,1
0.443079,0.234043,0.0421,0.3548,0.0027,0.3905,0.6855,1
0.5319,0.5106,0.0767,0.6576,0.0052,0.7185,0.4474,1
0.4555,0.021372,0.0307,0.3477,0.0019,0.3617,0,1
0.0131,0.3404,0.0414,0.392,0,0.4229,0.4149,1
0.0008,0.8085,0.0441,0.4646,0.0035,0.4229,0.4149,1
0.0009,0.3191,0.061255,0.3329,0.0035,0.4229,0.4149,1
0.8987,0.4043,0.0398,0.4332,0.0028,0.2214,0.55,1
0.4249,0.4043,0.0895,0.3801,0.0035,0.4229,0.4,1
0.4255,0.382092,0.0748,0.5391,0.0035,0.4229,0.4149,1
0.4469,0.2553,0.0337,0.3856,0.0022,0.2755,0.5246,1
0.4513,0.361702,0.04,0.3837,0,0.383,0.5873,1
0.4379,0.9362,0.0455,0.2563,0.0035,0.4229,0.4149,1
0.0273,0.234043,0.0699,0.2581,0,0.4229,0.4149,1
0.8805,0.2128,0.0308,0.1792,0.002022,0.297,0.6035,1
