V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,class
25.5869,0,0.1083,0,0,0,0,0,0,0,88.8155,96.4162,37.4536,35.0078,0,0,0,0,0,0,0,0,4.9943,0,2.0153,0.37,0,0,0,0,0,0,0,0,0,0,110.656,0.5125,126.598,0,0,0,17.7535,0,0,0,0.1674,0,117.563,-0.3827,6.485,0,0,0.1622,0
1,0.2125,0,101.579,0,0,0,0.0278,0,0,0,0,0,0,0,0,0.9113,0,79.5135,-2.6122,0,6.7477,0,0,0,0.9151,0,0,0,0,0,0.0721,0,0,0,0,138.654,0,146.633,0,0,0,3.5941,0,57.9906,0.4889,0,0,122.18,0,0,0,0,0,0
0.0536,0.1556,0,0,0,0.0476,0,0,0.3055,50.9186,0,0,0,0,0,0,0,4.0689,57.3656,1.0995,-5.5407,0,0,0,0,0,-0.1823,0,0,0,0,0.0877,0,0,-1.1389,0,0,0,129.47,0,0,0,3.9641,0,0,0.7103,0,1.0272,0,0,43.373,0,0.0275,0,0
0,0,0,0,0,0.5883,0.3696,0,0,0,136.252,0,0,24.8839,0,-0.2812,0,0,0,0,0.2422,4.1204,0.4952,0,0,0,0,82.7227,0.0502,9.5389,0,0.401,0,0.3773,-0.0298,0,128,0.2958,0,19.3567,0,0.2944,0,0,0,0,1.075,0,0,0,0,0,0,0,0
0,0,0,0.0686,0,0,0,0,0,254.9,0,0,0,7.0935,0,0,-4.1264,-8.0379,0,0.495,0,0,0.584031,0.2317,0,0,0,0,1,0,0,0.2274,5.2847,0,0,0,0,0,0,0,-0.1169,0,1.3662,89.7473,0,0,0,0.0412,0,0,0,10.7514,0,0.8887,0
0,0,0,0,0.8067,0,0,0.0268,0,0,37.6689,0,21.4609,0,0,0,0,0,0,0,0,0,0,0,0,0.5236,0,86.9376,0.9979,0,28.8681,0,0,0,0,0,0,0,114.883,0,0,48.9087,0,0,31.4126,0,0.3371,0,0,-0.5105,27.2131,3.0246,1,0.1055,0
0,0,0,0,0,0,0,0,0,0,0,72.9557,0,28.8335,0,0,0,0,0,0,0,0,1.0774,0,0,-0.9227,1.2519,65.661,0,1.7161,0,0,0,0,-5.9405,1.9082,114.764,0,126.731,15.7786,0,41.0995,0,0,36.6132,0,0,0,0,-0.2081,0,5.881,0.0032,0,0
0,0,0.6194,0,0,0.2191,0,0,0.229225,0,0,99.0688,0,0,45.7451,0,-1.4811,0,0,-0.0094,0,0,1.0738,2.37,0,0,1.5016,73.8996,0.9479,0,0,0,9.174,0,0.0979,0,0,0,131.47,0,0,24.6199,0,0,0,0,0,0,139.079,0,0,7.4118,0,0,0
0.08,0,0,0.3299,0,0.9788,0,0,0,0,0,0,0,0,0,0,0.2035,-0.9763,72.3391,0,0,0,0,6.7528,-0.6227,0.8484,-1,0,0,0,33.181,0,0,0.4868,4.0598,0,0,0,119.655,23.6151,0,0,0,0,43.5343,0,1.0121,0,0,0,0,0,0.1148,0,0
0,0,0,0.4989,0,0,0,0,0,123.578,0,0,27.6347,26.1692,13.7995,14.40881,0,0,0,0,0,0,0,6.7773,0,0,-0.8012,63.1206,0,0,0,0,0,0,0,0,95.5668,0,122.618,0,0,38.4871,15.3103,78.5925,0,0.9196,0,0,0,15.7144,8.5687,5.9987,0,0,0
0,0,0.0861,0,0,0.4125,0.1076,0,0,0,90.4131,0,42.5548,0,0,0,0,0,62.66,0,0,0,2.8113,0,0,0.9485,0,75.1479,0,-0.0643,0,0.3521,0,0.38,0,0,0,0,140.537,48.2554,0,0,0,0,0,0,0.3196,0.0193,105.352,0.4887,0,0,0,0,0
0,0.1625,0,0,0,0,0,0,0,0,101.819,0,43.6181,41.5958,37.7245,0,0,0,69.6122,0,0,0,0,0,0,-0.2373,0.9253,71.7943,0,8.7885,22.6487,0,0,0,0,-0.9409,106.472,0,117.466,0,0,0,0,0,24.3971,0,0,0.0286,0,0,42.6757,0,0.36388095,0,0
0,0,0,0,0.8682,0,14.7916,0,0,10.1439,0,0,0,8.772,7.8589,-2.8207,-1.0341,-1,0,0,0,2.9557,0,0,0,0,0,61.5168,0,0,5.5337,0,0,0,2.0262,0,0,15.4118,0,0,0,9.0514,0,121.744,0,0.3136,0,0,0,0,30.1216,0,0,0.5115,0
1,0,0,0,0,0,0,0.0144,0,150.272,0,0,0,12.5395,0,0,0.0759,0,0,0,0,2.757049,0.7134,1.5179,-0.154,136.91,0,0,0.2861,-11.3348,0,0,0,0,0,0,138.778,0,92.8169,0,0,26.482,0,0,0,0.6082,0,0,0,-1.5109,0,0,0.07,0,0
0,0.05,0,0.427,0,0.057,0,0,0,116.585,0,0,66.7582,0,0,-0.2672,-0.2581,0.4904,0,0,0,19.3256,0,0,-0.6374,0,1.1319,0,0,0,38.8045,0.6201,0,0,0,-0.3368,0,0,0,0,0,0,11.816,0,0,0.0963,0,0,0,0,0,0,0,0.7642,0
6.1789,0,0,0,0.8307,0,0.4127,0,0,101.546,0,59.3044,0,0,0,0.9357,0,0,0,5.181228,5.26563524,0,12.7012,0,0.2542,1.6305,0,0,0,0,0,0,0,0.2267,0,0.5109,0,0,0,25.8074,0,0,7.1401,0,35.7171,0,0.267,0.0354,0,0,0,0,0,0,0
0,1,0,0,0.5887,0,0,0.0982,0,0,0,0,28.9671,0,0,0,-0.7265,-0.7497,0,1.7017,0,0,0,0,-0.4828,0,0.6606,0,0.2437,0,33.5641,0,0,0,0,0,0,0,87.6126,0,1.4532,48.93393,0,0,0,0,1,0,0,0,0,3.7997,0.093,0,0
0,0,0.5292,0.5427,0.1256,0,0,0,0.2591,0,0,0,0,0,0,0,0,0,72.74741,-3.0651,-7.9485,0,1.5914,0,-0.4223,0,0,76.6299,0,0,0,131.817,9.9763,0,0,0,0,0.3594,0,10.6174,0,53.312,0,0,0,0.5015,0,0,98.4869,0,0,15.0186,0,0,0
0,0,0.1833,0,0.1262,0,0.1361,119.595,0,0,115.132,122.75,0,0,0,0,0,0,0,0,0,0,0,3.5546,-0.2422,0,0,66.251,0,-0.4371,23.5135,0.1904,0,0.2972,-2.8256,0,0,0,0,135.981,0,0,0,83.9061,46.3303,0,0,0,0,0,0,1.8688,0,0,0
0,0.9479,0,23.999525,0.5046,0,0.2528,0.0385,0,0,67.8155,0,0,26.8084,0,0,0,0,0,0,11.7238,0,3.1276,0,0,0.3901,0.9018,0,0,-0.5805,0,0,0,0,0,0,0,0,0,36.8384,0,0,10.9003,105.486,45.6921,0,1,0,0,0,0,0.169,0,0,0
0,0,0,0,0,0,0.3086,0,1.0216,0,145.572,52.8787,0,0,45.519,0,0,0,0,0,0,8.5995,1.3391,3.6957,50,31.2983,0,0,0.1917,0,49.011,0,0,0,-0.2993,0,0,0,0,12.0111,0.5193,0,0,0,50.7885,0.5113,0,0,0,0,0,0,0.0171,1.0027,0
0,0.0708,0,0,0.7347,0,0,0.0409,0.4335,0,0,0,0,35.7336,0,0,0.7471,0,63.6261,0,0,0,0,0,0,-0.5227,0,0,1,-2.5995,53.0952,0.2944,16.2748,0,0,0,100.764,0,0,0,0,54.539,0,0,0,0,0,0.0257,0,-0.1189,0,0,0.0104,0,0
0,0,0,0.2492,0,0,0,0,0.1572,0,27.5867,96.7447,0,36.5014,0,0.127,0,-0.266988,0,0,8.6103,0,5.6054,0,-0.0986,0,0,0,0.68,0,0,0.1641,0,0,0.0246,2.6278,119.848,0,0,0,0,55.5302,13.4134,0,0,0,0,0,0,5.272,0,0,0,0,0
0.1737,0,0,0,10.7107,0.1585,0,0,0,0,106.979,0,0,0,0,0,0,0,71.7695,0,-15.396,0,0,0,0,0,0,69.8446,0.4042,0,0,0.1401,13.7478,0,2.2346,0.0997,0,0.4306,0,0,0,0,5.1341,0,0,0.1847,0.16,0,0,0,0,0,0.017,0.0537,0
0,1,0,0.4963,0,0.0586,0,1.0253,0.3043,0,105.885,0,0,0,0,0,0,-0.0682,69.68,0,0,4.6201,0,0,-1.4435,0,0,61.1371,0,-0.2375,0,0,0,0,0,0,6.8306,0,140.617,0,0,0,0,0,0,0.5417,0,0,122.72,0,14.5684,10.4727,0,0,0
0,0,0.2139,0.5167,0,0,0,1.0792,0,0,0,0,25.7807,0,0,-0.1045,0,0,70.6603,3.2987,0,7.9085,0,6.8982,0,0.2351,0,89.9485,0,0,32.6927,0,0,0,0,1.27,110.727,0,116.057,0,0.6449,0,2.0669,0,0,0,0,0,0,0,0,0,0.1583,0,0
0.0521,0,0.2187,0,0.893,0,0.5408,0,0,0,0,83.7927,42.2514,0,0,0,0.4046,0,71,0,0,0,0,0,0,0,0,0,0,0,20.6371,0,0,0.5151,0,0,0,0,106.26,17.7341,0.3368,0,13.0559,0,39.8287,0,0,0,0,2.13,0,0,0.4236,0.237416,0
0,0,0,0,0.684,0.3186,0,0,0,113.24,2.4,0,0,0,0,0,0,-0.0541,0,0,21.7036,5.927,1.7131,0,0,0,0.8014,76.7115,0,2.0265,0,0,0,0,0,1.283,85.9779,0,0,0,0,0,3.6748,0,56.6202,0,0,0,0,-0.1591,42.4825,0,0,0.7471,0
1,0,0,0,0,0,0.231083,0,0,0,0,0,20.9447,21.0737,19.145,-0.2392,0,1.5987,0,0.0198,-2.5689,0,0,3.7697,0,0,-0.2975,54.4133,0,0,0,0,0.0446,0,0,0,0,0.2556,0,11.5976,0,0,0.0687,0,0,0,0.4833,0,95.899,0,0,0,0,0,0
0.097,0,0,0,0,0,0,0,0,0,0,194.033,29.8776,0,0,-3.2666,0,0,0,0,-1.2178,0,0,0,0,0,0,0,0,1.6343,49.4346,0,0,0.3096,0,2.514,0,0,95.8847,0,0,10.5844,0,0,0,0.3867,0.4025,0.1728,102.241,1.6358,0,11.0688,5.7241,0,0
0,0.4117,0,0,0.881,0,0.3921,0,1.0512,0,229.771,0,0,0,11.1875,0,0,0,99.3591,0,0,3.4853,0.9578,1.91663,0,0,0,81.684,0,-0.359,0,0.3064,0,0,0,0,0,0,0,0,0.0644,0,13.8228,0,0,0,0,0.0257,0,0.6992,0,0,0,0,0
1,0,0.2417,0,0.1676,0,0.142,0,0,0,0.6615,0,30.7818,0,0,0,0,0,79.5995,0,-2.5778,0,0,4.8122,0,0,0.6826,0,0.3688,-0.1065,0,0,0,0,0.5771,0,105.237,0,0,0.1583,0.9013,0,0,0,0,0.6368,0,0,0,0,0,0,0,0.1561,0
1,0,0,0.355,0.236,0,0,0,0.4801,0,0,109.064,0,42.8107,0,0.5256,0,-0.7144,68.4259,0,0,0,4.6976,7.2799,0,0,0,0,0.6167,-0.6708,0,0,6.1609,0,0,0,0,33,0,0,0.4232,0,0,0,28.5778,0.5014,0,0,63.5151,0,0,0,0,0,0
0.0284,0,0.0889,0,0,0,0,0.0521,0,0,0,88.3133,0,0,34.7264,0,0,0.7457,0,0,0,0,0,6.3901,0,0,-1,0,1,0,31.9263,0,18.7478,0,0,0,0,0,0,0,0,1.9273,17.17093,0,49.1726,28.9763,0.6281,0,132.658,0,0,0,0,0,0
0,0,150,0,0,1.0139,0,0,0.2718,0,122.575,0,0,17.6901,0,0,0,0,0,0,0,0,0,2.6113,0.1429,0.4278,0.3581,72.5773,0,0,0,0,13.9258,0,0,0,0,0,0,11.8245,1.1548,12.007,7.2467,84.8979,0,0,0,0.0343,0,0,0,0,0.1597,0,0
0.0997,0,0.6406,0.5043,0.7539,0.1677,0,0.0201,0,0,87.7662,0,0,26.5,0,0,2.0259,0,0,-0.2903,0,0,0,4.8808,0,0,0.6354,0,0,-5.188,0,0,0,0,0,0,0,0.1778,0,30.9901,-0.249,0,0,0,0,0,0,0,0,0,0,2.1894,1,0,0
1,0,0,0,0.8786,0,0,0,0.3358,217.539,0,252.041,0,20.14,0,0,0,0,0,0.7453,0,4.6343,0.4568,0,-3.5202,0.5118,0,0,0,2.2106,0,0,0,0,0,-0.9074,0,0,0,0,-0.0529,23.91,0,0,0,0,0,0.0627,93.814,-0.0341,0,0,0,0,0
0,1,0.4917,0,14.9171,1.1262,0,0.0772,0,0,0,0,0,13.0528,0,0,0,0,0,-0.7282,0.0348,4.712,0,0,-2.5193,0,0,0,0,0,0,0.361583,0,0,0,0,12.7791,0,0,0,2.1729,57.4578,13.4334,0,0,0,0,0,0,3.9648,41.4526,0,5.3576,0,0
0,0,0.1333,49,0,0,0,1.083,0,0,0,0,0,0,0,0,0.8167,0,42.7061,-12.0206,0,0,0,0,-0.1929,0.0112,0,0,0,0,24.5122,0,0,0.1082,0,0,0,0.1156,0,0,1.8785,0,0,0,34.3298,0,0,0,134.646,0.4158,7.8999,0.5274,5.8452,0.9208,0
0,0,0,0.501,0,0,0,0,0,81.2908,0,0,0,0,14.5227,0,1.781,1.5975,54.0815,0.879,0,4.9076,0,0,0,0,0,0,0,0.3738,0,0.174,12.7207,0,0,0,0,0,0,0,0.8471,0,0,97.3981,42.36525094,0.8205,0,0,105.44,0,0,0,0.0217,0,0
0.006,0,0,0.452837,0,1.0009,0,0,0,67.3988,83.0575,0,50.4909,0,44.8658,0.3572,0.5597,0,0,0,0,0,0,0,-0.5149,0,0,81.6755,0,0,0,0,0,0,1.581,1.6757,0,0,135.031,32.0348,0,57.3886,0,0,0,0,0.401,0,0,0,0,0,0,0,0
0,0.1729,0.1875,0,0.5983,0,0,0.0337,0.1637,0,0,89.2128,0,0,0,0,0,0,56.2889,-0.39,0,0,0,0,0,0.3904,0,0,0.4604,0,68.5179,0,0,0.1829,0,0,0,0,0,12.9171,0,0,0,0,0,0,0.1,1.0193,0,1.1737,0,6.7131,0,0.0889,0
0,0,0.4111,0,0,0,0,0,0,0,96.5778,0,0,0,0,0.3585,0,0,0,0,0,0,1.38,3.2762,-0.1808,0.3731,0,0,0,0,44.1674,0,4.7,0,0,0,0,0.8194,0,0,0.8228,0,1.3628,82.8256,52.9952,0.6956,0.409,0.0515,0,0,27.9273,0,0,0,0
0,0,0,0,0,0,0,0,0,0,173.89,0,0,10.5876,13.3286,0,-1,0,0,0,11.908,0,0,0.9242,-2.1606,-0.1076,0,0,0,0,0,0.1863,0,0,0,-0.2885,0,0,0,49.7647,0,0,5.901,89.5517,0,0.6292,0.4067,1.078,0,0,23.3395,0,0,1.5663,0
0,0,0,0.6757,0,0.0617,0.1525,0,0,113.897,96.9073,0,0,60.5361,0,0.1608,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.0269,0,0,0,0,0.2064,0,17.4879,0,15.0489,51.1831,0.2122,0.0214,126.772,0.3761,0,2.275,0,0,0
0,0,0,0,0.3971,0.1256,0,0.0271,1.0132,0,173.558,0,30.9085261,31.0524,0,0,-0.6331,0,0,0,3.5807,6.6238,0,0,0,0,-0.3109,0,0,-1.6068,0,0,4.4281,0,0,0,119.464,0,0,0,0,49.6834,0,0,0,0.5014,0,0,0,0,0,0,0,0.0741,0
0,0,0.3104,0.8391,0,0,0,0,1.07771,99.5916,0,86.4939,0,0,3.0669,0,0,0.7227,0,0,3.6587,0,0,0,0.0176,0.9339,0,0,0,0,0,0,0,0,-6.9084,0,126.862,0,0,0,0.5147,20.9644,15.266,0,0,0.501,0.3421,0.0296,0,0,0,0,0,0,0
1,1,0.4639,0,0,0,0,0,0,111.43,109.62,112.414,0,27.9074,25.7995,0,0,0,0,0,0,0,2.8584,3.477,0.0166,0,0,49.9171,0,0,19.482,0,0,0,0,0.9557,75.7,0,105.548,76.7,0.0288,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.1361,0.142,15.501,0,0,0,0,0,0,0,0,0,40.1208,0,2.2054,0,0,0,0,16.6754,0,0,0,0,1.5121,66.9069089,0.9125,0,0,0,0,0,0.7444,0,0,0,130.168,0,-0.7995,0,9.8335,100.046,0,0,0,1.0967,138.59,-0.2472,61.65,0,0,0,0
0,0,0.2472,0,0.5514,0,0,1.0571,0.6052,0,0,0,0,37.1885,0,-0.5592,0,0,70.6883,0,10.6259,0,0,0,0,0,0,0,0,0,8.2361,0.1062,15.1371,0,-0.749,0.4118,0,0,0,0,0,9.519,0,116.86,0,0,0,0,139.437,0,10.55,0,0,0,0
0.1837,1,0,0,0,0,0.0943,0,0,0,84.4686,0,0,0,0,0,0,0,57.5978,0.596,0.2,0,0,0,-0.1396,-0.0746,-0.4126,0,0,0,0,0,0,0.29,0,0,0,0.3056,0,0,-0.7194,0,0,99.3264,18.0015,0,0,0.0517,0,0,0,0,1,0.9874,0
0,0,0,0.3344,0,0,0.0912,0,1.0035,0,94.5204,0,21.9809,13.587095,0,0,0,0.3366,0,0,3.6641,0,0,0,0,0,0,68.5461,0.0458,-1.4383,0,0,0,0,0,0,122.541,0,0,0,0,39.9557,0,45.772,0,0.5155,0,0,0,-0.0269,76.017,15.9077,0,0,0
1,0.8167,0.3688,0.5787,0,0.1561,0,0,0,0,0,0,0,0,0,0,0,0,71.3359,0,0,0,0,10.3378,-0.0958,0,0,0,0,0,42.4935,0,4.6199,1,0,0,0,0,0,0,0,0,0,0,0,0.8016,0.3871,0,0,0,0,13.6141,0.0252,0.2695,0
0.0339,0.1208,0,0,0.439,0,0,0,0,0,0,38.8383,0,33.8169,35.5125,0,0,0,0,0.9082,1.969,9.6152,0,0,-0.4907,1.1511,-0.4811,0,0,-0.7111,0,0,0,0,0,0,0,0,0,0,0.5904,0,0,0,0,0,0,0,111.241,0,45.1564,0,0.0038,0.9963,0
0.0237,0.1375,0.5139,0,0.7927,0.0972,0,0.033,0,0,0,118.909,0,0,0,0,0,0,0,-0.2559,0,5.7266,0,0,0,0,-0.6276,0,1,0,0,0.5838,0,0,0,0,0,0,105.565,0,-0.917,0,3.5778,0,0,0.1878,0,0.0531,146.079,0,0,0,0,0,0
0,1,0.1833,0.2465,0.0674,0,0.1869,0,0,0,0,0,0,0,0,-0.5555,0.1621,0,84.5127,0,-0.139,0,0,0,0,0,0,0,0,0,9.501,0.3871,2.1259,0,7.3946,0,0,0,0,31.7358,0.1652,0,13.4686,0,0,0,0,0,0,0,0,17.4108,0,0.8986,0
1,1,0,0,0,0,0,0,0,145.524,0.3139,0,0,0,0,0,0,1.0333,78.48,0,-9.5407,0,0,4.3916,0,0.0369,0,0,0,0,68,0,10.0654,0,-1.2742,0.5984,0,0,0,0,0,0,0,81.9255,0,21.401,0.512,0.0279,0,0,0,0,0,1.0539,0
0,0,0,0,0,0.3276,0.2552,1.0563,0,0,172.501,0,0,15.9446,0,0,0,-1.7198,85.7264,0,-0.5263,0,0,0,0,0,-1,76.6734,0,0,0,0,0,0,0,0,0,0,0,0,-0.7524,4.4688,0,0,0,-1,0,0.0271,105.981,-2.2583,0,0,0,0.055,0
0,0,0,0,0,0,0.4393,0,1.083,99.4032,146.296,73.0545,0,20.5473,0,0,0,0,0,-0.1473,0,4.7477,0,0,0,0,0.6388,0,0,0,9.9082,0,16.7923,0,-2.7,0,127.246,0,100.485,0,-2.1207,68.3863,0,0,0,0,0,0,0,0,0,5.7241,0.327,0,0
0,0,0,0.1389,0.5501,0.1657,0,0,0,0,87.0536,0,0,0,0,-0.0605,0,0.4458,0,0,1.8383,0,0,0,-0.3563,0,0,0,0.0978,1.5828,0,0.2326,0,0.3127,0,0,0,0,0,0,0,21.749,0,130.968,36.4718,0,0,0.0287,0,0,14.5855,0,0.1776,0,0
1,0.0917,0,0,0,0,0.0555,0,0,95.6014,94.8122,93.9003,0,0,0,0,0,0,0,0,8.0746,0,3.3881,0,-0.2773,1.2996,0,0,0,0,19.1602,0.2449,0,0,0,0,69.16,0,137.863,0,0,37.5646,13.8598,86.3269,58.2734,0,0,0,0,0,0,0,0,0.3,0
0,0,0,0,0,0,0.1411,0,0,110.27,0,106.379,0,0,0,0,0,0,83,1.4928,0.0958,5.8306,0,0,0,0,0,59.8819,0,0,43.9865,0,4.2597,0.1665,-3.267,0.6655,126.636,0,114.386,0,0,0,7.0997,0,0,0.474,0,0,0,0,0,1.6976,0,0.1829,0
0.0054,0,0,0.4697,0,0,0.5,0,0.6276,0,0,98.5896,26.8234,0,0,0,0,0,68.3346,0,0,10.6794,0,0,0,-0.9082,0,87.8578,0,0,0,0.4155,0,0,-1.3662,0,0,0,0,0,0.3522,6.142364,1.8579,0,0,0,1,0,0,0,0,7.4556,0,0.1429,0
0,0,0,0,0,0,0.3202,0,1.0768,0,0,0,0,0,0,-0.4161,0,0,79.5668,0,-3.1548,0,0.6973,0,-1.0249,0,0,0,1,0,48.6707,0,0,0.1294,0,2.2593,0,0.3361,0,-1,0,19.9974,0,0,0,0.5151,0,0,112.176,1.1658,0,14.6406,0,0,0
0,0,0.175,0,0,0,0,0,0.4123,0,0,0,0,0,0,-0.9255,0,-0.8563,82.6,0,0,6.662,0,3.7594,0.519,-0.9405,0,0,0,0,43.7001,0,0,0,0,0.5208,0,0.2375,0,0,0,36.1571,0,0,62.4592,0.5933,0.4041,0.0337,0,0,0,0.4961,0,0,0
1,0,0,0.501,0,0.1167,0,0,0.70003123,0,0,0,0,0,0,0,1.3574,0,0,0,0,0,2.2147,0,0,0,0,72.5373,0,0,8.5271,0,0,0.264,0,-0.1878,0,0,0,0,23.9855,0.0713,0,0,54.6967,0.5234,0,0,0,0,45.0889,12.7871,0.169,0,0
0,0.55,0,0,0,0,0,0,0,117.647,108.092,0,0,50.6122,0,0,0,0.2903,63.581,0,1.1577,16.5811,0,0,0,0,0,74.7287,0.8778,0,27.6555,0,0,0,-0.5106,0,0,0,0,0,0,0,0,0,30.9082,0.661,0,0,129.627,0,28.9074,11.4984,1,0,0
0,0.1187,0,0,0.2452,0,0,0,0.6881,0,0,103.986,56.5299,0,0,0,0,0,0,0,0,14.4853,0,10.127,0,2.3173,2.5121,0,1,-1.9077,0,0,0,0.2772,0,0,0,0.6278,0,0,0.8376,0,0,0,0,0.8357,0,0,122.875,0,-0.7188,0,0,0.1031,0
0.035,0.1729,0.1,0,0,0.0479,0,0,0,0.7169,121.512,0,0,13.4607,0,0.4849,0,-0.9151,0,0,0,0,0,0,0,0.0379,0,83.7001,0.2375,0.5995,0,0,0,0.2389,0,0,0,0.3729,0,0,0,0,9.8167,0,0,0,1.0564,0,0,0,0,0,0,0,0
1.8479,0.1792,0,0,0,0.9273,0,0,0,0,0,0,72.0752,0,0,0,0,0.5687,0,0,0,0,0,16.4825,0,0.4371,0,71.7885,0,0,0,0,0,0,0,0.1431,0,0,135.12,63.5263,-1.8279,42.4126,5.2037,70.0181,0,0.519,0.2785,0,105.731,0,0,0,0,0,0
0.6265,0,0,0,0,0.2819,0.2297,0,0,183.296,0,0,0,0,12.0178,0,-0.3566,0,0,0,0,0,0,0,-0.0659,0,-0.8982,0,0,0,34.9252,0,7.1232,0.4458,0,0,0,0.2583,128.717,31.8386,0,18.0304,5.1749,0,0,0,0,0,0,0.0193,0,0,0.0233,0,0
0,0,0,0,0,0.2707,0,0.501,0.0782,0,0,0,0,0,0,0,0.7056,1.0348,0,-3.7953,16.3255,0,0,16.2186,0.2472,0,0,77.9808,0,0,30.1646,0,0,0,3.1277,0,0,0,121.031,0.234,0,0,4.9085,0,47.8554,0,0,0,0,0,0,5.3364,0,0,0
0,1,0,0.4908,0,0.8929,0,0.0275,0,0,0,0,18.3902,0,0,0,0,-0.1073,0,-0.6082,0,0,0,0,0,0,0,70.2349,0,0,0,0.1608,0,0.5,0,0.5579,97.2599,0,0,0,0.4259,0,0,0,0,0.5762,0,0,138.277,0,15.519,0,0.0271,0,0
0.0154,0,0,0.5188,0,0,0,0.44503,0,0,58.7169,49.5149,0,0,6.5687,0,0,0,0,0,0,0,0,0,0,1.5395,0.8234,66.4117,0.1028,0,0,0,0,0,0,0,0,0.1833,107.377,0,2.3328,0,10.3109,0,0,0,1,0,0,0,26.9771,0,13.1631,0.0736,0
