V1,V6,V10,V12,V13,V14,V15,Class
32,8711904,12,6052,3,-1,0,1
4260,51154119042152.0,9,6094,2,-1,0,1
4049,1128,14,3705,2,-1,0,1
5926,1697,8,238,3,-1,0,1
5250,0,12,953,3,-1125,0,1
5728,3026,26,553,3,-1,0,1
30,4198,23,709,2,-1,0,1
29,2857,3,51172,1,-1,0,1
3569,889,7,16,2,-1,0,1
44,-7,27,571,2,-1,0,1
27,35165742,21,158,3,-1,0,1
45,2951,6,523,1,-1057,0,1
54,0,14,382,2,-1,0,1
54,4049,20,872,4,-112037,0,1
3943,394357,17,166,1,-1,0,1
3738,276858,22,942,1,-1,0,1
33,4881704,1150,7074,1,-1,0,1
60,2624042152,21,1342,3472,28,0,1
33,51119041701,9,250,2,-1,0,1
53,865,526,592,2,-1,0,1
343769,0,2119,825,2,-1,0,1
59,3944,1204,603,2,-1,0,1
46,-2253,18,561,1,-1,0,1
34,18087,13,2603,4,-1052,0,1
4260,0,12,992,2,-1125,0,1
35,153817,7,1051,1,-92,0,1
4047,5321704,30,2625,2,-1125,0,1
3852,2493,29,842,2,-1,0,1
3820,935,4,642,1,-1,0,1
26,5745,19,205,2,-1,0,1
39,17085,26,6094,1,-1,0,1
4280,-939,27,394,1,10569,2,1
362,587290417,22,8,2,-1,0,1
54,1767,1,2691,2,-1,0,1
5904,-937,18,127,2,-1125,0,1
6022,11862183,7,158,1,-1,0,1
3546,1138,30,792,2,-1,0,1
4059,60322,28,278,4,-1,0,1
4745,844011702,3,2803,4,-1,0,1
46,839,21,8,2,-1,0,1
2672,6423,16,447,1,-1,0,1
41,3234,21,5761,2,-1,0,1
52,3068,11,394,3382,-1,0,1
44,744171625,16,1206,3,-1125,0,1
362,3769581757,28,1028,3,-1,0,1
3057,6.6858177219042104e+16,14,829,2,-1120,0,1
4528,2581191804,29,853,2,-1,0,1
5822,5462,1321,1492,4,-1,0,1
36,5,8,431,1,-1,0,1
36,394357,8,603,4,-2295,0,1
52,0,25,1231,2,-1128,0,1
3051,3429,10,6074,1,2262,0,1
5119,801,19,265,6,-1128,0,1
34,21,23,744,2,0,0,1
2665,0,21,200,3,-1,0,1
3326,12721805,3,562,4,-1,0,1
42,26,22,7094,4,352,0,1
26762178,3254,7,926,2,-1,0,1
2538,828511904,2,902,3,-1,0,1
4326,0,23,431,2,-1120,0,1
53,853,27,6894,2,0,0,1
36,1352,8,20,4,5942,0,1
3300,5384218021904.0,22,1708,1,-1,0,1
2552,682,28,185,2,-1,0,1
4633,14311942,7,382,1,-1,0,1
50,0,15,981,2,-1128,0,1
58,4371857,7,234,3,-1,0,1
4638,-346,19,73,3,-1,0,1
35,0,21,703,1,-1,0,1
34,-11411904,20,362,2,-1,0,1
38,5511952,25,1377,2,-1,0,1
44,4762245,21,8,3,-1,0,1
3051,5745,18,124,3,-1125,0,1
3432,4638,19,568,1,-1,0,1
3468,5058,13,65,4,-1,0,1
34,3735,1522,2603,2,-1120,0,1
32,10922404,28,763,4,-1,0,1
44,1044,6,581,1,-1,0,1
33,3551,1,6058,2,-1,0,1
42,6711942,1162,472,2,-1,0,1
3839,0,15,447,1,-1,0,1
54,362245,14,6,4,-1,0,1
3550,0,6,527,4,-1,0,1
382,749,14,906,1,-1,0,1
28,2965,2921,524,2,-1,0,1
5326,2176,518,854,2,-1,0,1
5948,3420,31,771,2,-1,0,1
394,180817,29,13,2,-1,0,1
35,0,21,762,1,-1,0,1
482,3472,521,9,2,-1,0,1
5958,4,29,703,3,-1,0,1
32,29511942,813,603,3,-1,0,1
3738,4.19869E+11,3021,3078,9,-1,0,1
46,13,8,3791,6,-1,0,1
56,3135,17,4761,2,-1125,0,1
28,604,21,965,2,-1,0,1
55,1871,23,1037,1,0,0,1
2851,5,20,1871,1,-1125,0,1
394,1738,20,8092,528,-1,0,1
3528,592,2,541,1,-1125,0,1
57,2038,1535,1628,2,-1,0,1
5434,3352,20,8,2,-1120,0,1
52,63871,521,905,1,-1,0,1
5948,0,22,2293,2,-1,0,1
42,14511944,17,139,3,370,2,1
5904,818,14,1072,5,1,0,1
5948,519,29,865,1,-1,0,1
5345,1820,22,241,4,-1,0,1
394,699042152,17,1503,4,-1,0,1
362,-2271,1326,245,4,-1,0,1
61,17762245,16,635,2,182,3,1
3300,0,4,1326,3,-1,0,1
3943,73372171148,19,828,2,-1,0,1
394,1327,9,603,2,-1,0,1
3944,13881776214624.0,29,1038,1,-1,0,1
32,0,12,668,1,-1,0,1
5041,5359,15,442,2,-1,0,1
32,5119,1141,1052,3,-1,0,1
47,2262,20,4,528,-1,0,1
54,13881704,4,725,2,-1,0,1
6072,4198,14,562,4,-1125,0,1
37,-480,21,262,8087,158,708,1
3538,67869421904,17,203,2,-1,0,1
2726,0,21,152,4,-1,0,1
34,12062245,1721,6761128,1,-1,0,1
35,5058,23,362,1,-14,0,1
4539,4384,1536,165,2,-1,0,1
31,20571853,3026,709,2,-1,0,1
34,1617042102,3,903,2,-1125,0,1
4745,6042252,16,808,5,0,0,1
4345,30462224,21,688,2,-1,0,1
4878,2985,3,382,2,0,0,1
42,6042155,27,526,3,-233,0,1
362,0,20,687,2,-1,0,1
5250,4761125,18,1205,2,-1,0,1
53,87224,19,5851,2,-1,0,1
3944,0,25,240,3291,-1,0,1
50,1455461904,11,1206,2,-1,0,1
32,-3819062183,9,882,1,-1,1026,1
3250,1201,6,91,3,-1,0,1
3046,1345,12,278,4,181,3342,1
2853,2026,3085,565,1,-1,0,1
5848,1004,22,732,1,-1125,0,1
3800,5,1821,707749,2,-1,0,1
46,39042102,29,1508,4,-1,0,1
4858,-253,15,394,1,-1,0,1
49,46904,12,9062,1,-1,0,1
3850,1165,1222,83,1,-1,0,1
2830,738694417042149.0,16,262,1,-1,0,1
36,362,4,260,2,-1,0,1
4750,214904,1205,2250,3,-1,0,1
33,1.32376E+11,18,1134,4,-1120,0,1
4119,2,1027,437,1,-1,682,1
49,1026211904,21,711904,558,-1,0,1
56,1228,622,1571,2,-1,0,1
34,543,21,487,2,-1,0,1
39,0,17,1405,4,-1,0,1
3400,1326,19,869,4,0,0,1
34,6638,8,394,2,-1,0,1
47,1044,23,771,1,-13,0,1
54,897171704,30,603,5762,-1,0,1
56,303904,21,165,2,-1,0,1
346908,39743,13,442,3,-1,0,1
2572,-1,29,4762,3352,-1128,0,1
36,1063,19,2781,2,-1,0,1
5547,897,7,14062,1,-1,0,1
3326,623,3,394,1,-1,0,1
33,8811204,2,667,1,-1,0,1
3948,394357,4,2291,2,-1,0,1
33,4042,24,8,2,-1125,0,1
5908,1622,17,1820,1,-1120,0,1
48,7551857,11,219,3472,91,0,1
49,20461957,27,91806,2,-1,0,1
52,394,23,968,2,0,0,1
3324,-106,26,576,4,-1,0,1
25,0,4,1321,1,-1,0,1
33,7062178,1028,158,1,-1,0,1
3940,-160,7,234,2,-1,0,1
3943,15762178,21,869,2,-1,0,1
35,1027,23,104,3,-1,0,1
362,7,14,1072,1,-1,0,1
25,-382,13,394,4,-1,0,1
37,4119,17,1028,2,-1,0,1
2552,1806,21,453,2,-1,0,1
71,3846,1204,507,1,0,0,1
36,-475112042,4,7062245,11,-1125,0,1
3150,1081,8,497,2,-1128,0,1
37,826,13,4761,2,0,0,1
3350,26682404,29,8,1,-1,0,1
42,0,22,7,2,-1120,0,1
35,28811942,19,825,2,-1,0,1
49,3738762245,526,603,1,-1,0,1
3429,638205119042132.0,12,2645,1,-1,0,1
34,562,822,131172,4,-6,0,1
0,0,4,71808,1,-1,0,1
362,1204,8,263,1,-1,0,1
3540,5,19,7053,1,-1,0,1
394,1345171604,19,68972,2,-1120,0,1
362199,0,11,882,3,-1,0,1
43,20894,22,902,1376,-1,0,1
5219,20,30,2925,9,-1,0,1
34,18762121,28,603,4,-1,0,1
3468,531,5,1057,2,252,0,1
44,19511951,20,362,2,-1,0,1
59,0,21,1072,2,-1,0,1
77,13353625762152.0,15,804,2,-1,0,1
5450,5359,12,704,1,-35,0,1
3440,0,21,8094,2,-1,0,1
45,2868,21,2671,1,-61,0,1
3400,0,26,80,1,-1,0,1
2672,-242,23,158,2,-1,0,1
4049,-32,22,394,1,-1,0,1
3150,1027,25,958,2,181,0,1
44,0,20,1027,3342,-1128,0,1
3150,0,15,822,4,-1,0,1
5745,161903,3,4539,2,0,0,1
3852,4421904,21,563,3441,-1,0,1
34,1.18119E+11,25,394,1,-1,0,1
33,8982249,21,2552,2,-1,0,1
3943,2981,28,1619,5,-1,0,1
47,9684817,2026,200,1,0,0,1
3250,246948,16,164,2,-1,0,1
35,3371,20,53842,1,0,0,1
3738,902,30,872,1,-1120,0,1
3944,2262,4,483,2,-1,0,1
49,469,2,2840,4,-1120,0,1
34,123065,25,569,2,-1125,0,1
32,5473,26,6546,11,-1128,0,1
30,285119,5,164,3,-1,0,1
3854,596,22,487,2,-1,0,1
3250,0,706,11,1,-1,0,1
6150,2152,902,222,2,-1,0,1
3052,-297,21,7962,2,-1,0,1
5535,2152,19,903,3,-1,0,1
4119,4884,21,561,2,-1,0,1
35,2262,15,803,15,-1,0,1
4439,52772,2028,462,1,-1,0,1
5637,100972,31,603,2,-1,0,1
33,0,16,1022,1,-1120,0,1
33,0,8,926,2,-1,0,1
59,57,28,603,2,-1,0,1
53,0,23,51872,1,-1,0,1
34,5715044,528,654,7,-1,0,1
71,965411904,23,1234,1,-1,0,1
4450,1342,20,526,4,-1,0,1
3739,3547,15,8,3,-1,9,1
29,7811944,4,854,2,-1120,0,1
32,3371,62119,158,5762,0,0,1
3539,775,6,442,2,-1,0,1
59,511204,20,925,1,-1,0,1
58,-68,12,88,2,-1,0,1
4260,53,22,7094,4,-1125,0,1
3150,362152,31,152,1,-1,0,1
26,0,28,39,1,-1,0,1
5745,-9,21,728,2,-1,0,1
4042,5,20,874,1,-1,0,1
37,3421,29,81858,442,0,0,1
4745,3300,5,881,1,-1128,0,1
44,1165,2026,1509,1,0,0,1
40,92317,10,526,1,-13,0,1
38,51848,19,3342,2,92,2263,1
35,2240,12,265,1,-1,0,1
3250,276944,30,591,1,-1,0,1
492,12411904,4,1305,1,-1,0,1
35,0,5,825,2,-1125,0,1
3738,599,12,442,2,-1,0,1
34,1574,9,1165,2,-1,0,1
38,5034,22,158,1,-1,603,1
4260,442,26,11,1,-1,0,1
4068,4468,19,536,2,-1125,0,1
25,1047,3,394,2,494,0,1
5345,-18948,25,1461,2,-1,0,1
394,-346,17,4,1,-1,0,1
2673,1.41704E+11,29,1009,2,-1,0,1
43,4963,626,872,2,0,0,1
31,5,2130,8761125,2,-1128,0,1
4538,394657,21,1002,4,92,0,1
3738,1558,21,902,5,-1120,0,1
54,985,7,469,2,-1,0,1
32,-191,14,5946,1,-1,0,1
52,-17,18,2293,3,-15,0,1
3943,5311904,15,464,2,-1,0,1
381,296842,28,858,1,-1,0,1
41,3855,14,565,8762249,3051,0,1
32,2071,29,10761,3498,-42,0,1
3329,732,1130,397,1,-1,0,1
25,4072,6,7092,1,2262,0,1
3620,0,18,622,2,-1,0,1
57,5437,17,1451,1,0,0,1
32,31,22,878,2,-1,0,1
3821,1242,21,485,1,-1,0,1
3908,2,15,543,3,-1,0,1
5250,2266,4,442,1,-1,0,1
3943,576,11,1045,2,-1,0,1
32,0,19,132,4,-1,0,1
5038,494,17,603,2,-1,0,1
2326,21896744,521,545,4,-1,0,1
45,0,6,948,2,-290,0,1
41,2039,9,442,2,5611926,0,1
362,536,20,4,2,-1,0,1
3540,0,29,7050,3,-1,0,1
362,0,19,469,4,-1,0,1
52,140411761,8,2,2,355,0,1
4944,1165,3026,143,2,-1,0,1
56,1603,28,671,1,-191,0,1
4300,52817762,18,456,1,-1128,0,1
2772,1071,3,1149,2,-1120,0,1
6068,3735,21,962,1,-1125,0,1
44,1326811904,20,1038,1,-1,0,1
44,6250,15,273,1,0,0,1
4420,47911251704,1038,668,2,-1,0,1
2624,-475,2042,434,3,-1,0,1
362,17511904,12,61852,4,-1,0,1
3250,461165,18,687,2,-1,0,1
3250,2474,10,4,5,-1,0,1
4062,828,5,718,1,-1,0,1
3051,-205,18,722,4,-1,0,1
27,136542,15,536,2,-1,0,1
51,494357,15,2026,4,-1,0,2
48,735,19,6963,4,362,0,2
3738,489465722,2,2809,2,-1,0,2
4041,6,14,814,1,-1,0,2
4220,-428,11,528,4,-1120,0,2
35,3026,15,1291,1,-1,0,2
44,565,13,928,1,185,0,2
362,1044,13,6054,1,96,0,2
62,3342,1027,295,1,84,4762262,2
34,0,1529,603,1,182,4761,2
46,60324,6,1212,2,-1,0,2
42,0,29,7062199,1,0,0,2
27,488211904,3029,1408,1,394,0,2
2678761,2262,30,922,3,-1125,0,2
497,2152,7,446,2,-1,0,2
397,0,14,7094,1,0,0,2
36,291938,12,1509,43904,-1,0,2
44,-849,22,262,1,604,3,2
4629,49621453817761.0,25,603,3,-1,0,2
561808,476214535,23,528,2,-1,0,2
31,8811904,22,238,2,-1,0,2
4345,5745,18,66150,1,-1,0,2
4260,29097,1321,485,5,371,3,2
5904,397,20,709895,3,-1,0,2
36,23762249,622,895,2,-1128,0,2
362,2423761,14,8,2,-1,0,2
45,2262,19,1038,1,-1,0,2
33,574,17,749,1,-1,0,2
4545,2495,14,1327,1,-1,0,2
2452,53816762245,15,1206,1,-1,0,2
494,3324,26,526,1,-1,0,2
5818,531,13,602,1,-1,0,2
4531,1238,22,464,2,-1,0,2
3738,2468,14,567,1,-1,0,2
394,2352,28,8,4,-1,0,2
4629,1044211904,19,434,9,-1,0,2
2681,1409852,27,982,1,-1,0,2
65,3300,1141,526,1,0,0,2
4638,0,14,804,1,-1,0,2
34,3463,18,261,1,-1,0,2
48,6863,17,1340,1,-1,0,2
5536,261165,4,1138,2,-1,0,2
38,1544,21,526,1,-1125,0,2
5039,4300,22,4982,3,-1,0,2
2550,597,1721,603,2,-1,0,2
3943,517062152,14,703,1,-1120,0,2
3150,2546,8,603,1,-1120,0,2
394,466,12,895,2,-1,0,2
4260,3469177622,21,534,1,-1120,0,2
34,2381,3,12053,2,2262,0,2
26871772,9411904,527,713,4,-1,0,2
4625,0,18,572,2,-1,0,2
362,3569,21,1027,2,-1120,0,2
6150,3321,15,703,2,-1,0,2
31,0,924,1257,3,5741,0,2
2938,0,14,1241,1,-1,0,2
2952,1211,15,466,1,-1,0,2
56,33422404,9,603,2,-1,0,2
57,4785150,6,272,3,-1,0,2
4280,-815,26,251,1,85,4761,2
33,2511,23,100972,1,-1,0,2
59,14082262,6,3825,1,-1,0,2
49,1808,12,9,4,-1,0,2
2548,594,28,1357,1,-1,0,2
57,2049,28,945,2,-1,0,2
4633,526762199,17,8,1,-1,0,2
3400,1138,19,968,1,-1,0,2
4943,890,29,591,1,184,1,2
4628,1346,11,587,1,-1,0,2
41,1165,14,792,4,-1,0,2
28,0,8,431,1,-2048,0,2
5024,1111,6,1333,2,-1,0,2
30,153848,3024,953,1,-1,0,2
394,531101,23,2078,2,-1,0,2
51,2152,2917,865,1,-1,0,2
5745,27711944,21,615,3,-1,0,2
5820,27,5,827,1,0,0,2
3250,558,18,953,1,-1,0,2
2950,794,18,4761,2,-1,0,2
58,22,21,532,1,-1,0,2
22,539,25,449,1,-1120,0,2
41,70324,431,527,2,10417,434,2
52,0,14,1265,1,-1,0,2
3944,507,25,562,3,-1,0,2
394,2.85119E+11,19,462,1,-1,0,2
33,3813,20,767,4,192,1372,2
33,52687211904,28,1376,2,-470,0,2
31,1234,28,7062,4,0,0,2
394,0,8,1027,1,-1,0,2
4440,2626,16,1431,1,-1,0,2
30,0,527,250,1,-1,0,2
5821,93543,2049,1708,1,-1,0,2
41,2554,1321,1408,3291,-1128,0,2
26,3400,21,2323,1,-1,0,2
5878,5,1721,515,1,-1,0,2
394,4762,1220,300908,2,-1,0,2
40,474,5,1667,1,-1,0,2
4628,1.32685E+11,28,521,3,-1,0,2
44,8821943,15,605717,3696,-1,0,2
29,592,4,634,1,-1,0,2
52,0,12,567,1,-1,0,2
54,394,16,745,2,-1120,0,2
31,3342,28,603,1,-1,0,2
33,-247,22,1242,1,-1,0,2
5052,5473,622,1027,1,-1,0,2
5545,78424042166,17,985,1,-1,0,2
3821,29411944,29,682,1,-1,0,2
3821,0,618,1406,4,-1,0,2
3839,2262,3,1032,1,-1,0,2
34,944,6,725,1,-1120,0,2
3535,3291,23,1536,1,-1,0,2
494,-1,14,922,1,-1,0,2
481718,1277,823,1509,1,-1,0,2
38,-475,22,270,1,170,604,2
4119,1091,26,224,1,-1,0,2
507,2646,11,518,2,-1,0,2
4038,0,21,7062,3472,-1,0,2
394,1078721904,2,1220,1,-1,0,2
2825,27894,8,8094,1,-1125,0,2
51,4401,3,1376,4,-1,0,2
35,0,10,1134,1,-1,0,2
64,1027,15,1561,3,91,0,2
2821,18084421852,5,1232,1,-1,0,2
27,0,30,15762,1,-1,0,2
3842,0,82119,718,1,-1,0,2
4230,0,622172119,881,1,-1,0,2
32,21,30,622,5762152,-1,0,2
5324,1227,7,782,1,2262,0,2
362,13771772,2,245,1,-1128,0,2
2657,-9,29,511,3,-1,0,2
4150,4421926,16,669,3,-1,0,2
3051,1511,17,704,2,178,0,2
3734,1467,3023,603,2,-1,0,2
37,0,25,3702,1,-1,0,2
29,611862,2,6074,3,-1,0,2
3220,0,917,863,1,-1,0,2
382,1461,602,857,3,-1,0,2
31,658,27,565,1,5841,0,2
3738,0,1330,7062145,3,-1,0,2
3728,1536,604,515,1,-1,0,2
38,26,9082,431,2,-1,0,2
6629,1,18,668,4,-1,0,2
42,60224,19,531,1,-1,0,2
44,47321,3063,2603,1,-1,0,2
54,4,15,9092,1,-1,0,2
39,1317,1321,543,2,382,1,2
4260,859,1321,7054,1,0,0,2
36,725490421782150.0,19,22773,1,-1,0,2
2748,2300,19,863,2,203,1,2
4849,172217,8,1265,1057,181,0,2
382,588,15,528,6,92,462,2
3944,52857,3,485,2,-1,0,2
4539,2567,1851,1134,466,-1,0,2
382,3234,3,585,1,-1,0,2
3350,1455,15,705817,1,0,0,2
26,0,15,1265,4,-1,0,2
3345,982,12,816,1,-1125,0,2
585717,1536,17,3552,1,-1,0,2
45,0,2026,447,1,-1,0,2
394,1428,26,938,1,-1,0,2
3230,0,14,878,1,-1,0,2
36,382245,1822,952,3342,-1,0,2
39,3444,14,1257,1,-1,0,2
24,968421904,521,1536,1,79,0,2
56,665,26,265,2,92,0,2
362,2326,1708,903,1,-1,0,2
5948,1168,12,878,1,-1,0,2
31,293057,20,1165,4,93,2261,2
62,0,15,81816,1,-2250,0,2
411958,2975,14,30,1,-1,0,2
3260,20261101,1417,886,3,-1,0,2
4300,6531752,19,972,1,-1,0,2
58,1023,23,588,6,-1,0,2
2948,829,20,709,1,-1125,0,2
3150,1.62598E+11,7,4963242,2,-1120,0,2
37,2102,11,661,4,181,726,2
5326,5761123,17,561,1,92,0,2
30,3326,28,603,2,-1,0,2
4041,353625,18,896,4,-1,0,2
4630,0,7,309,1,-1,0,2
2820,2784,2031,56542,3472,-1,0,2
32,527421904,27,568,3342,94,2,2
3224,0,25,523,3,4041,0,2
5904,1168,8,149,1,-1,0,2
31,4657,19,1234,4,-1120,0,2
3420,1026,22,524,2,-1,0,2
4300,0,926,639,2,-1,0,2
29,86542,14,3821,1,-1,0,2
5150,1654,11,3672,1,-1,0,2
42,131144,2521,923,1,-1,0,2
394,-1165421904,28,821,2,-1125,0,2
4260,791,6,806,5,-1,0,2
3250,7063,27,1404,3,-1,0,2
41,23950104,15,478,2,-1,0,2
3940,1467,8,623,1,-1,0,2
5345,682,21,495,3,-1,0,2
58,0,5,1721,1,-1,0,2
2952,131144,21,603,2,-1,0,2
57,44645,11,1536,2,-1,0,2
34,0,16,528,1,-1,0,2
59,5971617761,826,571,4,0,0,2
2639,3628,3,76119,1,-1,0,2
37,442,1130,2802,2,185,0,2
54,3444,5,7094,2,8715,1128,2
23,3622,16,3019,1,-1,0,2
3528,0,5,938,2,-1,0,2
5745,2396218326,18,730,1,-1,0,2
3051,893,17,528,1,-1,0,2
5545,12811904,21,272,1,-1,0,2
4119,0,926,886,1,92,602,2
42,532,29,1569,1,-1,0,2
4539,6031704,11,2807,442,181,8,2
2740,0,552,1417,3,-1,0,2
32,353904,3026,9,1,-1,0,2
38,4645,22,730,4,-1,0,2
42,816,28,528,1,-1,0,2
36,1027,14,7078,1,91,0,2
482,0,28,1027,1,97,2,2
29,3444,21,272,1,-1,0,2
3345,394357,1565,4962,2,90,2,2
4744,6054,21,703,1,-1,0,2
4300,5,3,568,9,-1,0,2
3944,668,22,878,4,-1,0,2
5350,-386,14,623,1,-1,0,2
53,7084,5,775,3,0,0,2
43,1.36318E+11,29,673,2,-1,0,2
3468,3957,13,922,3,-1,0,2
54,2665,25,474,2,-1,0,2
46,7910119081702.0,6,4762262,1,-395,0,2
3438,1404,27,854,1,-1,0,2
5849,944,18,273,3342,-1,0,2
39,0,21,851,2,-1128,0,2
54,1534,822,571,462,92,10,2
362152,-938,1321,603,6,-1,0,2
4943,1408218326,29,2321,3,-1,0,2
3904,-291,22,661,4,-1,0,2
3400,7991,28,853,1,-1125,0,2
3219,266944,19,1567,2,-1,0,2
4321,8831704,29,232,1,4657,528,2
4049,917,28,509,1,-1,0,2
52,3944,12,774,1,-1,0,2
3420,0,26,591,2,-1,0,2
3150,826,9,18,3,-1120,0,2
32,-97,15,521,1,-1,0,2
4072,591904,28,895,3,-1,0,2
3638,797,2,1230,1,-1125,0,2
3550,81695,28,1260,1,-1125,0,2
3250,2557,1721,806,3,-1,0,2
394,476224524171858.0,6,1321,1,-1,0,2
3941,8,18,556,1,-1,0,2
3539,51904241142,16,479,1,-1,0,2
2262,31,27,536,1,-1,0,2
