synindex,class,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54
0,0,0.326678,1,0.420833,0.453445,0.352955,0.99174,0.359845,0.0183525,0.223735,96.3201,87.0156,68.8831,33.9563,32.088,27.946,1.26945,1.42563,1.73641,64.2309,-0.0372694,9.46536,9.03727,2.56897,5.47953,0.86131,-0.301231,0.0793231,48.6666,0.383333,1.33054,33.6099,0.788729,7.83304,0.27248,0.144813,0.639502,143.941,0.35,139.452,35.3526,-0.253682,41.1849,17.464,114.568,61.0366,0.59476,0.134884,0.0210087,119.452,0.517989,7.17837,12.5843,0.358316,0.0442571
0,0,0.276939,0.875,0.46875,0.444354,0.205904,0.765683,0.423811,0.026434,0.324797,190.816,216.192,252.882,13.8742,8.35961,3.35888,0.214557,-0.644541,-11.0976,93.2995,-0.966758,-9.63717,1.54855,0.53255,2.04072,-0.73543,1.23815,0.442576,60.5165,0.983333,2.01025,18.9277,0.155818,15.6037,0.523597,0.612743,0.636774,73.242,0.0458333,112.367,17.0803,0.529685,47.9689,2.7388,59.8979,49.4909,0.194264,0.327163,0.0658537,160.579,-0.348992,29.3778,9.15215,0.499902,0.454679
0,0,0.0253183,0.208333,0.227778,0.930461,0.478103,0.169162,0.171581,0.0644571,0.466463,71.1365,76.3008,61.2192,24.3288,20.924,21.0223,1.13223,0.959949,1.12126,60.1838,-4.53324,7.30252,7.07812,2.71262,7.96616,0.133349,0.469297,0.403706,88.9736,1,8.99775,31.6364,0.105811,8.40041,0.60569,-0.791373,0.45304,69.1512,0.46875,118.315,11.2265,1.09204,60.4177,2.15932,73.7347,8.99981,0.718464,0.367351,0.0464722,192.874,1.1953,33.718,12.0299,0.174323,0.196564
0,0,0.0363997,0.310417,0.2,0.341944,0.241745,0.26549,0.15292,0.0579503,0.413695,132.139,117.036,86.7578,66.5923,65.7591,66.9278,0.570069,0.771821,1.03942,70.7459,-0.414074,15.6973,16.218,2.09818,6.29809,0.350709,-0.412581,-0.351039,74.5964,0.2,-1.6714,19.1148,0.548584,5.71968,0.100808,4.89464,0.0687059,123.517,0.536111,110.932,18.6885,1.50852,36.2951,6.82896,218.313,34.2784,0.434083,0.384162,0.056209,55.4013,-0.119894,39.146,8.36795,0.369965,0.181036
1,1,0.0538542,0.94375,0.116667,0.42926,0.779321,0.947237,0.0853153,0.101655,0.51088,95.0499,86.3041,70.53,67.933,63.7453,56.8738,0.486778,0.591701,0.777719,59.1298,0.245222,9.07545,22.1272,3.28609,8.64877,-0.158077,0.825557,0.88177,81.5708,0.225,3.04202,21.5416,0.411863,9.36816,0.456417,4.10897,0.532785,142.291,0.222917,108.751,9.21278,-0.0967485,10.4055,4.22165,132.1,37.218,0.763172,0.141454,0.0663421,22.8833,-0.134643,9.34662,10.5864,0.252731,0.328401
1,1,0.327917,0.672917,0.775,0.287316,0.597356,0.613482,0.656429,0.0298073,0.371217,118.882,88.8977,73.8223,51.1469,51.8968,45.5526,0.0555088,0.399806,0.836584,64.2651,7.93329,10.2912,15.827,11.2446,6.44941,-0.225094,2.06598,0.529295,69.5487,1,2.3183,15.82,0.053408,13.3619,0.164532,3.34149,1.49709,68.3856,0.534375,143.49,53.8328,-0.271052,30.9236,1.02098,40.0744,42.6643,0.211861,0.282538,0.0325501,120.277,-0.669268,24.0116,15.5584,0.552245,0.800303
1,1,0.147228,0.870833,0.8,0.294004,0.541122,0.838397,0.71077,0.0592351,0.788668,131.098,124.692,100.511,25.4571,25.4494,25.5892,0.523268,0.576232,0.788503,74.8855,-1.48357,9.46447,6.11711,2.65328,5.83677,-0.0650045,-1.21659,0.808053,65.7865,0.236111,0.665384,54.3113,0.334722,2.28908,0.440042,-8.8482,0.197982,210.031,0.214583,141.528,51.5821,1.23958,59.598,14.1859,106.427,41.9113,0.105522,0.216562,0.106216,97.3126,1.82077,25.3442,10.4716,0.0275405,0.259524
1,1,0.259132,0.7375,0.494444,0.638873,0.191516,0.705323,0.393299,0.0224217,0.289373,58.6617,39.9912,33.9095,15.9764,13.4973,10.995,0.456304,0.739557,0.880994,47.6527,7.35355,7.70808,6.65706,2.28133,3.10171,0.168552,0.297951,0.348321,65.4546,1,4.87944,50.3579,0.496643,6.42498,0.237706,-1.02162,-0.172691,106.317,0.341667,100.387,44.5567,0.745795,14.1884,10.6684,253.531,26.9126,0.477688,0.484768,0.028291,141.079,1.13088,23.141,12.0439,0.150718,0.302338
1,1,0.01739,0.1875,0.275,0.744716,0.151652,0.180704,0.209299,0.0891847,0.662738,93.8466,84.6705,72.8725,42.4668,42.04,40.309,1.20408,1.35736,1.62978,62.7615,1.11079,6.9163,12.2798,2.93,5.27908,0.437809,-4.35844,1.0698,78.3477,0.254167,-8.16495,6.88639,0.272302,3.80187,0.433434,2.75907,0.236073,134.086,0.197222,58.7981,9.18059,-1.04718,30.8024,13.872,129.771,16.5689,0.505608,0.633037,0.0697396,118.138,0.496522,56.6291,11.3462,0.100949,1.06643
0,0,0.371557,1,0.495833,0.490567,0.224874,1.11772,0.490366,0.0230512,0.250642,29.7247,24.165,5.62012,4.66947,3.23066,2.61723,1.34169,5.16878,6.07024,36.673,-3.12326,28.1378,2.26974,2.13301,4.37161,0.928238,-0.331582,0.322162,50.5672,1,-1.08824,8.12722,0.0910741,13.9962,0.425234,2.06655,0.258421,152.242,0.755556,181.418,46.11,0.888409,24.4086,2.99975,119.573,20.384,0.830325,0.41951,0.0634658,145.112,-1.49823,33.849,14.9043,0.0498206,1.24257
1,0,0.0932986,0.716667,0.233333,0.552898,0.878588,0.613837,0.204298,0.0521647,0.442068,104.237,116.39,42.5707,21.0066,17.7844,16.1937,-1.58216,-2.67671,0.121932,70.8289,-14.0634,33.8614,6.32787,4.3036,6.6615,-4.12655,-0.64866,0.458601,92.8019,0.213889,-0.964018,53.2222,0.134597,4.86576,0.103679,8.67907,2.87115,99.1933,0.0694444,102.529,37.2966,0.724058,23.898,3.59225,99.2007,61.1001,0.344087,0.514462,0.0701044,181.624,0.576151,14.6954,12.63,0.131846,0.109899
2,0,0.184798,0.860417,0.316667,0.406108,0.331676,0.859881,0.268904,0.0375161,0.321758,115.814,125.544,109.269,17.602,18.433,26.4828,0.282914,0.389941,0.344128,74.5653,-4.53129,5.37773,4.61369,1.70017,4.23111,0.145988,-1.17426,1.01142,61.4387,1,2.29964,24.6376,0.121381,6.80951,0.223918,6.17743,0.241237,150.69,0.269444,81.9722,9.80899,1.18712,25.6828,13.1549,43.1082,6.08991,0.506655,0.388539,0.0329437,93.4203,1.04914,56.5914,3.14686,0.269277,0.255199
3,0,0.4261,1,0.53125,0.498604,0.776628,0.928203,0.46006,0.0183349,0.197929,80.3232,80.7432,57.612,30.2484,27.4248,26.9679,0.584881,0.505811,0.462154,61.3743,-4.49394,12.5749,9.41132,6.46168,8.01769,-0.365787,-0.757977,1.00973,56.5788,0.611111,0.50949,58.828,0.302925,8.13596,0.291548,-2.21561,0.288918,172.908,0.325,78.6544,19.5669,-1.30217,57.9093,7.28424,43.2963,40.4903,0.426192,0.305738,0.138461,109.292,1.83317,18.9443,8.87682,0.218206,1.00512
4,0,0.292459,1,0.419444,0.473784,0.170482,0.858812,0.368259,0.0266933,0.302746,213.179,213.982,215.657,24.7867,24.499,22.3258,-1.64813,-1.73978,-2.14649,93.2191,0.0285079,-0.482562,4.58901,0.434383,1.03072,-2.50393,0.628783,-1.09094,94.8862,1,5.75683,13.7406,0.227838,8.02918,0.426192,13.2647,1.41843,138.748,0.758333,177.675,33.3425,1.03381,50.7593,13.1203,148.555,38.9558,0.512734,0.38557,0.0235561,184.381,1.14731,55.6351,16.7465,0.0305498,0.441632
5,1,0.150162,0.354167,0.547222,0.849447,0.240528,0.318249,0.480813,0.0252813,0.225202,146.531,146.971,126.644,10.5636,11.1301,10.3785,0.925984,0.30775,0.054765,80.1341,-2.36955,6.41414,2.38098,0.972344,0.976331,-0.330137,-0.12184,-0.0617183,96.6045,1,0.179659,45.9632,0.216827,6.60259,0.127982,-0.265541,-0.0393132,203.94,0.586111,120.556,27.7122,1.40849,39.6618,4.54234,104.691,21.753,0.0601856,0.403621,0.0777271,36.2692,-2.62845,53.2454,8.39122,0.193715,0.252861
6,1,0.337436,1,0.405556,0.507032,0.831828,1.01861,0.342547,0.0215404,0.167965,119.4,65.8271,39.0189,39.554,30.3946,33.6931,-0.00546421,0.810772,1.02045,60.13,13.4328,28.1466,9.38296,14.9722,19.9925,-0.609483,0.777312,-0.0253192,75.03,0.49375,-4.70931,14.6336,0.119044,5.07201,0.0914888,-0.490421,-4.80533,75.8158,0.563889,93.1075,36.4607,1.84833,46.7918,8.29948,95.5422,50.7949,0.629306,0.388645,0.0280497,195.966,2.2948,6.13197,14.7167,0.0512847,1.00238
7,1,0.0892824,0.502083,0.25,0.208131,0.89963,0.451641,0.210608,0.0381773,0.288704,73.1956,80.0904,77.0119,32.3693,36.4017,37.8323,0.0655624,-0.159545,-0.150075,59.7839,-2.39808,1.56855,14.5516,3.35194,5.47066,-1.12492,2.4833,1.17154,38.3122,0.255556,5.38929,16.1082,0.217977,16.5577,0.264368,2.69158,-1.47693,73.2602,0.341667,96.3172,29.6964,-1.45381,7.75077,14.1697,135.631,41.7676,0.515431,0.724801,0.0347352,105.367,-1.73682,33.9995,7.63731,0.0326215,0.101058
8,1,0.00304977,0.0791667,0.0777778,0.593525,0.427251,0.0652248,0.0618181,0.163188,0.504699,166.954,139.313,98.3473,34.8057,38.538,43.7698,-0.239633,-0.288073,-0.250993,78.6446,1.421,18.6942,9.08051,1.74735,10.2607,-0.685635,1.56534,2.05032,55.6585,1,0.537277,44.6946,0.339207,7.55627,0.582625,2.98068,2.2827,114.623,0.452778,198.349,26.7631,0.487764,5.26792,17.9648,166.008,79.6354,0.384142,0.270416,0.0206556,33.4469,-1.57641,41.1047,18.524,0.258987,0.99126
9,1,0.0547859,0.20625,0.4,0.0803786,0.797288,0.170135,0.36974,0.0496461,0.335929,149.57,149.43,139,37.1467,37.566,36.1889,-0.832342,-0.857909,-0.824484,80.0921,-1.11122,3.26882,9.08917,0.974077,0.889101,-1.11835,6.02053,2.45664,72.7069,0.141667,0.184369,36.4078,0.449838,3.10895,0.408924,-1.14003,-0.673077,143.298,0.179167,98.0014,20.4487,0.725386,53.6669,14.395,140.337,44.4924,0.857483,0.0487616,0.0224565,119.15,0.824075,57.7885,19.6146,0.226939,0.992792
0,0,0.222025,1,0.314583,0.514295,0.883401,1.0348,0.257808,0.0286973,0.294224,231.975,229.066,226.219,16.4794,17.8475,17.9897,-6.56051,-5.73328,-4.65226,95.8902,0.240458,0.802526,3.5313,0.712756,1.30835,-7.02146,2.74651,-2.05498,65.4597,1,3.54496,19.2389,0.0538087,15.6151,0.149265,-6.47441,1.11617,175.359,0.525,132.025,22.7111,2.21668,52.5679,10.8482,76.4153,23.1474,0.358271,0.404077,0.0976253,75.4602,-0.953472,17.3985,15.4797,0.0355324,0.137684
1,0,0.403831,0.997917,0.630556,0.50453,0.249875,0.836466,0.561731,0.0217821,0.358226,156.734,116.082,101.698,54.7118,53.9144,52.9055,-0.143706,0.375189,0.548184,73.0908,8.34408,9.56158,13.7287,3.47656,4.34449,-0.14637,-0.24773,-0.0402039,77.294,1,-1.28232,30.8775,0.217353,18.5163,0.211045,4.59281,-0.255039,214.726,0.40625,78.2059,9.92424,1.82891,50.1266,10.1757,223.864,12.4661,0.109003,0.275775,0.0203607,63.937,1.08612,28.3101,12.844,0.306447,0.258271
2,0,0.311979,1,0.620833,0.482829,0.209607,1.18947,0.503615,0.0301799,0.497483,88.6535,85.223,54.9147,47.1608,54.2646,40.8084,0.844453,0.856183,1.32624,60.7213,-2.59938,16.3982,16.1886,7.42001,9.02359,0.195525,-0.345095,1.38158,84.7389,0.2,-3.7535,60.5144,0.80851,2.11022,0.244414,0.235581,-0.735191,91.0158,0.360417,241.003,8.22387,0.0890122,27.6347,2.22379,138.106,11.2299,0.415536,0.132838,0.0531382,52.5419,1.39325,42.583,8.25988,0.0551505,0.990362
3,0,0.123993,0.839583,0.305556,0.677157,0.381611,0.662708,0.222186,0.0409783,0.51667,133.106,138.395,146.372,57.0832,57.6619,59.716,1.15987,1.0467,0.840124,76.9076,-0.21656,-2.8307,12.0272,1.51256,4.07597,0.862051,-1.88463,-1.42256,48.6064,0.745833,-2.34932,37.6726,0.0910715,7.71922,0.532291,8.8246,-7.05131,156.597,0.133333,100.062,15.2864,-0.492469,56.4036,10.788,162.069,12.7005,0.427561,0.453167,0.021501,106.334,1.75212,29.0308,20.0164,0.227818,1.13711
4,0,0.029919,0.410417,0.116667,0.835455,0.603059,0.361254,0.0904724,0.0820116,0.375151,155.299,187.538,213.941,9.34415,4.16591,5.08197,3.07517,1.76697,-0.446388,87.7703,-3.32156,-8.5455,0.839036,1.08667,1.9366,2.76262,1.14839,0.737728,66.4895,0.204167,1.47479,62.0031,0.419787,5.12496,0.207641,11.3917,-0.791152,162.533,0.397222,83.8608,13.3257,0.20114,39.3042,11.3147,129.146,50.2461,0.492678,0.207312,0.0318258,69.7218,-0.43435,81.2552,16.1137,0.234219,0.12818
5,1,0.713333,0.911111,0.841667,0.56764,0.43098,0.86825,0.816718,0.0110495,0.0697899,108.551,92.5516,96.9534,58.4306,58.0225,57.3359,0.405324,0.64787,0.554727,63.8311,6.21057,-0.45183,18.6168,2.84595,3.67565,-0.383124,0.265158,0.0732849,75.7787,0.216667,9.98988,25.0671,0.197948,14.0055,0.386363,4.10039,0.547501,122.94,0.235417,33.6987,26.5305,4.58722,55.1092,4.8495,222.747,29.3096,0.450078,0.698895,0.145985,175.361,-0.198944,39.274,8.49983,0.117795,0.798408
6,1,0.0414988,0.13125,0.377778,0.0596892,0.27923,0.120542,0.347504,0.0504811,0.163049,94.3232,87.6291,84.4872,52.2565,54.8276,52.4493,-0.503056,-0.205429,-0.260382,60.379,2.18698,2.7571,21.4733,8.98826,5.08233,-0.755844,2.87557,2.6645,78.2425,0.836111,1.50886,23.7306,0.318125,3.77901,0.279607,4.26432,0.905718,40.4458,0.286111,113.759,57.4513,2.48656,19.0745,5.94997,146.752,57.8685,0.512661,0.286876,0.0154477,184.906,1.20217,44.6499,1.57287,0.259977,0.222142
7,1,0.00190972,0.04375,0.0611111,0.517058,0.851599,0.0382137,0.0513102,0.175758,0.285714,203.276,150.158,87.7879,28.5008,32.3734,35.156,-0.100213,0.234713,0.857399,82.2813,4.37462,26.3567,6.22693,4.6756,14.3969,0.0677342,0.120487,0.31308,67.3019,1,4.20313,12.4134,0.466948,20.4188,0.288698,3.67366,-0.332151,105.014,0.391667,112.785,0.918965,0.383822,49.4836,19.7619,155.024,17.0549,0.381871,0.397603,0.0339138,181.393,1.45758,29.7834,3.6155,0.326632,0.0257996
8,1,0.127228,0.236111,0.654167,0.8921,0.328518,0.215764,0.581633,0.0307937,0.176283,46.0763,47.6191,45.6888,36.8391,37.7051,34.5389,0.587833,0.610609,0.767751,44.6632,-0.641391,0.471372,19.0258,4.8338,8.34411,-0.0670894,1.49472,-0.0963359,83.3427,0.25625,-1.21613,17.2973,0.358302,8.13647,0.791673,-3.78357,-0.764679,193.556,0.108333,95.988,4.76492,1.69294,31.0367,10.1354,120.291,67.0372,0.380727,0.401111,0.0813912,36.8293,0.0073103,36.128,5.73034,0.172564,0.0617135
9,1,0.0129282,0.19375,0.138889,0.408936,0.26083,0.182232,0.105477,0.0944494,0.51957,89.7708,78.3124,74.2807,45.399,47.1953,53.0992,0.85193,1.12811,1.67818,60.2987,3.60552,4.23535,14.3169,3.03631,10.0781,0.487641,0.305017,1.469,47.5388,0.183333,-0.757632,43.0379,0.22677,10.121,0.60504,4.02652,1.03836,75.9869,0.154167,109.164,16.9439,-0.351206,65.8238,10.4668,147.606,55.1034,0.114724,0.207962,0.0268819,212.047,0.547035,63.1826,6.29259,0.0246644,0.260557
0,0,0.0696817,0.227083,0.455556,0.103591,0.603305,0.227963,0.329745,0.0400299,0.326415,133.576,113.151,83.905,45.4982,46.6811,45.9802,0.852607,1.16251,1.3012,71.6241,1.46287,14.7257,11.1809,4.02225,10.6898,0.46395,-0.27662,1.68951,74.8985,1,-0.613548,28.1528,0.523982,3.09919,0.341891,6.81812,0.301621,119.226,0.0611111,68.1768,21.6776,0.79897,12.9311,0.551067,201.392,58.8166,0.526077,0.442538,0.113477,209.609,-0.0526189,47.3787,14.3364,0.318021,0.056996
1,0,0.0952662,0.96875,0.255556,0.70979,0.440978,0.823087,0.221107,0.0619609,0.615194,81.813,136.552,172.702,8.29688,5.60242,6.78688,0.361924,-0.0375064,-0.893061,76.0521,-8.35156,-14.9877,1.4191,1.12496,1.66603,-0.0838726,0.880923,0.0236151,63.1442,0.475,5.78915,15.6181,0.120017,6.86781,0.430239,7.72094,-0.0558545,47.6938,0.336111,33.2981,44.6945,2.00757,63.0068,11.7944,52.435,26.4801,0.751353,0.426023,0.0955631,49.5257,0.20797,26.1059,5.46069,0.0175463,1.02196
2,0,0.29088,1,0.513889,0.614106,0.266248,0.857519,0.46026,0.0307377,0.433964,90.3379,103.925,57.1895,48.4107,51.3891,47.9245,1.00855,0.657378,1.96184,65.7146,-11.4423,22.5208,14.6122,6.00675,11.8383,-0.0525929,-0.0132475,0.507534,76.2288,0.06875,3.33155,28.6128,0.326609,16.3154,0.466128,-3.47025,-0.176377,54.6197,0.105556,67.6417,11.6303,1.14667,27.2183,1.19817,130.254,63.8354,0.772283,0.403476,0.0142878,115.141,-0.808844,8.69004,17.2852,0.039728,0.0386845
3,0,0.155666,0.339583,0.652778,0.559434,0.425728,0.293917,0.594013,0.0253913,0.297768,135.377,121.81,120.961,57.8085,57.8496,58.1407,0.322549,0.561239,0.497782,72.8981,3.38065,1.77725,15.2931,3.29762,3.63264,-0.564496,0.127589,1.06766,82.1363,0.527083,-11.1696,29.6759,0.468132,8.73048,0.231563,5.22673,1.32279,103.569,0.16875,192.604,40.9616,2.14906,4.10454,16.8934,147.514,27.8162,0.152799,0.279269,0.101152,205.57,0.394374,32.9131,19.2366,0.0912558,0.279038
4,0,0.0985301,0.969444,0.535417,0.370484,0.19497,0.701497,0.437269,0.0996711,0.810175,235.33,234.941,238.088,42.4005,42.7217,40.7168,-3.28327,-3.27032,-3.43748,96.1155,0.434643,-0.863552,10.3456,1.33,2.07809,-4.75947,10.1372,-5.93299,52.16,0.24375,1.56271,41.3222,0.665833,8.80927,0.255515,5.78303,-1.05714,204.219,0.402778,63.8236,41.5193,0.893439,24.6905,19.3817,124.59,32.862,0.475261,0.308143,0.0304155,211.062,-0.513599,9.88134,19.0959,0.405885,0.874749
5,1,0.191377,0.804167,0.361111,0.604649,0.863765,0.688064,0.309869,0.0333837,0.340972,62.3175,63.5735,56.5282,25.0146,22.1537,18.1376,0.361168,0.338208,0.319026,55.6217,-2.03235,3.32552,8.94368,1.62056,3.54412,-0.259243,-0.314825,0.00581468,61.1473,0.429167,-0.603145,44.4363,0.259812,6.36977,0.268254,0.0825966,-1.10735,82.9746,0.34375,229.832,27.4424,-0.599243,8.77555,16.8617,103.096,9.45733,0.515598,0.418357,0.0218225,67.2004,1.04267,62.6602,9.40475,0.0188079,1.0638
6,1,0.0504282,0.154167,0.358333,0.928039,0.341816,0.14912,0.336544,0.0420014,0.0871569,64.3769,107.198,137.923,39.368,37.564,37.9409,1.25103,0.923152,0.459574,67.7996,-7.68382,-15.1932,9.96389,2.28381,6.66723,0.584857,0.297573,0.110842,54.7318,0.677083,-3.44439,22.0698,0.496691,11.5,0.138219,25.4551,-0.436684,72.7176,0.808333,167.275,2.93927,1.59049,58.2477,21.8375,92.7589,23.6525,0.912591,0.148007,0.0301917,171.986,-2.22144,34.2845,0.544779,0.014728,0.219242
7,1,0.0104572,0.170833,0.1,0.767907,0.73143,0.134798,0.0803241,0.0957388,0.387873,169.633,155.526,140.762,45.3831,46.4461,41.6215,-1.40333,-1.25148,-1.15521,81.4359,1.65025,5.39562,11.9637,2.86637,4.53942,-1.75716,1.71628,-3.52471,83.1745,0.275,-2.93943,31.3012,0.614207,5.85934,0.262402,3.68697,0.826029,130.844,0.208333,102.78,29.538,-0.0759285,54.8311,21.3321,151.882,44.6606,0.204598,0.275759,0.0762404,83.9993,0.771273,50.3185,2.79518,0.173825,0.26907
8,1,0.299479,1,0.419444,0.471947,0.845019,1.02712,0.338876,0.0294493,0.28601,128.256,117.403,98.4444,20.6305,18.6168,16.2831,-1.06794,-0.961971,-0.816472,73.5213,0.174959,7.94287,5.16705,0.852865,1.84601,-1.48908,-0.025013,-1.00309,81.8603,0.164583,8.5314e-15,23.8812,0.308737,2.46291,0.106453,1.24895,-2.41016,123.737,0.725,227.896,18.3736,3.58889,15.9286,16.214,172.506,35.6324,0.458032,0.632809,0.0217045,102.955,-0.540109,23.6835,25.2643,0.393773,0.340592
9,1,0.0601758,0.35625,0.2375,0.346873,0.735953,0.326248,0.190575,0.0446825,0.288781,168.874,135.964,89.3575,40.2156,41.0972,34.6175,-0.359602,-0.222469,0.599477,77.9211,2.17398,19.8226,9.71051,2.53685,5.26877,-0.603115,0.667654,-0.917197,68.6268,1,5.35774,40.3837,0.327181,3.41605,0.198687,0.892926,-0.144937,180.452,0.285417,128.988,10.7976,0.30243,53.6382,4.06493,176.35,58.6552,0.383474,0.73707,0.064032,124.133,0.0963805,12.8291,4.00426,0.00174768,0.984508
