synindex,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
72,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32
73,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13
74,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1
75,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1
76,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2
77,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3
78,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8
79,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14
80,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16
81,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40
82,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32
83,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13
84,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1
85,1,0,1,5,0,6,0,1,0.24,0.2576,0.75,0.0,0,1,1
86,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2
87,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3
88,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8
89,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14
90,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.0,12,24,36
91,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.0,26,30,56
92,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.0,29,55,84
93,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.0,47,47,94
94,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.0,35,71,106
95,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.0,40,70,110
96,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.0,41,52,93
97,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.0,15,52,67
98,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.0,9,26,35
99,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.0,6,31,37
